"examName","seriesName","chartName","Event","Label","Begin","End","Answer","Statement"
"PF110411","1","1.01A","01","X","65","109","109","X"
"PF110411","1","1.01A","02","13","177","226","238","13"
"PF110411","1","1.01A","03","25","1020","1169","1187","25"
"PF110411","1","1.01A","04","39","1790","2023","2046","39"
"PF110411","1","1.01A","05","C46","2565","2784","2815","C46"
"PF110411","1","1.01A","06","R33","3344","3525","3539","R33"
"PF110411","1","1.01A","07","C47","4167","4328","4342","C47"
"PF110411","1","1.01A","08","R35","4948","5077","5098","R35"
"PF110411","1","1.01A","09","C48","5716","5907","5952","C48"
"PF110411","1","1.01A","10","26","6481","6593","6619","26"
"PF110411","1","1.01A","11","XX","7254","7319","7319","XX"
"PF110411","1","1.02A","01","X","31","165","165","X"
"PF110411","1","1.02A","02","13","237","282","297","13"
"PF110411","1","1.02A","03","25","1003","1144","1158","25"
"PF110411","1","1.02A","04","39","1771","2002","2027","39"
"PF110411","1","1.02A","05","C46","2548","2786","2817","C46"
"PF110411","1","1.02A","06","R35","3322","3449","3480","R35"
"PF110411","1","1.02A","07","C47","4093","4257","4281","C47"
"PF110411","1","1.02A","08","R33","4858","5032","5048","R33"
"PF110411","1","1.02A","09","C48","5624","5789","5822","C48"
"PF110411","1","1.02A","10","26","6397","6499","6516","26"
"PF110411","1","1.02A","11","XX","7168","7224","7224","XX"
"PF110411","1","1.03A","01","X","13","121","121","X"
"PF110411","1","1.03A","02","13","191","234","257","13"
"PF110411","1","1.03A","03","25","960","1104","1126","25"
"PF110411","1","1.03A","04","39","1765","1989","2012","39"
"PF110411","1","1.03A","05","DB","2179","2179","2179","DB"
"PF110411","1","1.03A","06","BI","2366","2366","2366","BI"
"PF110411","1","1.03A","07","C46","2544","2749","2772","C46"
"PF110411","1","1.03A","08","R33","3314","3498","3511","R33"
"PF110411","1","1.03A","09","C47","4089","4262","4280","C47"
"PF110411","1","1.03A","10","R35","4855","4991","5014","R35"
"PF110411","1","1.03A","11","C48","5625","5834","5859","C48"
"PF110411","1","1.03A","12","26","6393","6501","6528","26"
"PF110411","1","1.03A","13","XX","7163","7226","7226","XX"
