"examName","seriesName","chartName","Event","Label","Begin","End","Answer","Statement"
"PF100408","1","1_01A","01","X","49","97","97","X"
"PF100408","1","1_01A","02","13","330","382","399","13"
"PF100408","1","1_01A","03","25","1099","1267","1285","25"
"PF100408","1","1_01A","04","39","1922","2164","2187","39"
"PF100408","1","1_01A","05","C46","2826","3002","3024","C46"
"PF100408","1","1_01A","06","R33","3609","3736","3752","R33"
"PF100408","1","1_01A","07","C47","4383","4675","4693","C47"
"PF100408","1","1_01A","08","R35","5160","5365","5388","R35"
"PF100408","1","1_01A","09","C48","5930","6196","6212","C48"
"PF100408","1","1_01A","10","26","6720","6863","6898","26"
"PF100408","1","1_01A","11","XX","7503","7615","7615","XX"
"PF100408","1","1_02A","01","X","88","133","133","X"
"PF100408","1","1_02A","02","13","348","402","424","13"
"PF100408","1","1_02A","03","25","1117","1287","1309","25"
"PF100408","1","1_02A","04","39","1901","2172","2199","39"
"PF100408","1","1_02A","05","C46","2732","2913","2930","C46"
"PF100408","1","1_02A","06","R35","3510","3673","3697","R35"
"PF100408","1","1_02A","07","C47","4289","4543","4561","C47"
"PF100408","1","1_02A","08","R33","5096","5221","5250","R33"
"PF100408","1","1_02A","09","C48","5908","6126","6142","C48"
"PF100408","1","1_02A","10","26","6679","6813","6832","26"
"PF100408","1","1_02A","11","XX","7457","7526","7526","XX"
"PF100408","1","1_03A","01","X","19","115","115","X"
"PF100408","1","1_03A","02","13","175","224","237","13"
"PF100408","1","1_03A","03","25","956","1114","1129","25"
"PF100408","1","1_03A","04","39","1761","2002","2020","39"
"PF100408","1","1_03A","05","C46","2712","2884","2982","C46"
"PF100408","1","1_03A","06","R33","3608","3738","3758","R33"
"PF100408","1","1_03A","07","C47","4397","4631","4651","C47"
"PF100408","1","1_03A","08","R35","5187","5336","5358","R35"
"PF100408","1","1_03A","09","C48","5952","6167","6186","C48"
"PF100408","1","1_03A","10","26","6730","6865","6901","26"
"PF100408","1","1_03A","11","XX","7498","7571","7571","XX"
