"examName","seriesName","chartName","Event","Label","Begin","End","Answer","Statement"
"PF110201","1","1.01A","01","X","31","76","76","X"
"PF110201","1","1.01A","02","13","139","184","197","13"
"PF110201","1","1.01A","03","25","929","1093","1106","25"
"PF110201","1","1.01A","04","DB","1406","1406","1406","DB"
"PF110201","1","1.01A","05","BI","1474","1474","1474","BI"
"PF110201","1","1.01A","06","39","1699","1892","1906","39"
"PF110201","1","1.01A","07","C46","2558","2820","2839","C46"
"PF110201","1","1.01A","08","R33","3349","3499","3513","R33"
"PF110201","1","1.01A","09","C47","4166","4403","4421","C47"
"PF110201","1","1.01A","10","R35","4942","5054","5068","R35"
"PF110201","1","1.01A","11","C48","5724","5955","6110","C48"
"PF110201","1","1.01A","12","26","6496","6614","6638","26"
"PF110201","1","1.01A","13","XX","7264","7332","7332","XX"
"PF110201","1","1.02A","01","X","15","151","151","X"
"PF110201","1","1.02A","02","13","231","280","295","13"
"PF110201","1","1.02A","03","25","994","1138","1151","25"
"PF110201","1","1.02A","04","39","1760","1965","1977","39"
"PF110201","1","1.02A","05","C46","2578","2858","2875","C46"
"PF110201","1","1.02A","06","R35","3386","3505","3517","R35"
"PF110201","1","1.02A","07","C47","4202","4449","4466","C47"
"PF110201","1","1.02A","08","R33","4988","5128","5144","R33"
"PF110201","1","1.02A","09","C48","5764","5931","5946","C48"
"PF110201","1","1.02A","10","26","6534","6644","6655","26"
"PF110201","1","1.02A","11","XX","7301","7358","7358","XX"
"PF110201","1","1.03A","01","X","16","127","127","X"
"PF110201","1","1.03A","02","13","159","205","214","13"
"PF110201","1","1.03A","03","25","924","1070","1086","25"
"PF110201","1","1.03A","04","39","1749","1928","1942","39"
"PF110201","1","1.03A","05","C46","2579","2829","2854","C46"
"PF110201","1","1.03A","06","R33","3394","3558","3570","R33"
"PF110201","1","1.03A","07","C47","4165","4408","4433","C47"
"PF110201","1","1.03A","08","R35","4935","5063","5079","R35"
"PF110201","1","1.03A","09","C48","5701","5925","5946","C48"
"PF110201","1","1.03A","10","26","6477","6615","6632","26"
"PF110201","1","1.03A","11","XX","7249","7310","7310","XX"
"PF110201","1","1.04A","01","X","13","125","125","X"
"PF110201","1","1.04A","02","13","157","202","215","13"
"PF110201","1","1.04A","03","25","958","1111","1125","25"
"PF110201","1","1.04A","04","39","1740","1915","1926","39"
"PF110201","1","1.04A","05","C46","2536","2792","2814","C46"
"PF110201","1","1.04A","06","R35","3407","3513","3527","R35"
"PF110201","1","1.04A","07","C47","4207","4453","4467","C47"
"PF110201","1","1.04A","08","R33","5006","5151","5164","R33"
"PF110201","1","1.04A","09","C48","5831","6040","6054","C48"
"PF110201","1","1.04A","10","26","6640","6789","6803","26"
"PF110201","1","1.04A","11","XX","7418","7475","7475","XX"
