"examName","seriesName","chartName","Event","Label","Begin","End","Answer","Statement"
"PF090316","1","1.01A","01","X","42","103","103","X"
"PF090316","1","1.01A","02","13","303","354","367","13"
"PF090316","1","1.01A","03","25","1073","1239","1256","25"
"PF090316","1","1.01A","04","39","1838","2049","2064","39"
"PF090316","1","1.01A","05","C46","2613","2814","2827","C46"
"PF090316","1","1.01A","06","R33","3388","3496","3514","R33"
"PF090316","1","1.01A","07","C47","4155","4318","4344","C47"
"PF090316","1","1.01A","08","R35","4925","5060","5078","R35"
"PF090316","1","1.01A","09","C48","5696","5882","5896","C48"
"PF090316","1","1.01A","10","26","6463","6586","6601","26"
"PF090316","1","1.01A","11","XX","7239","7314","7314","XX"
"PF090316","1","1.02A","01","X","32","196","196","X"
"PF090316","1","1.02A","02","13","272","320","335","13"
"PF090316","1","1.02A","03","25","1045","1201","1216","25"
"PF090316","1","1.02A","04","SNF","1764","1764","1764","SNF"
"PF090316","1","1.02A","05","39","1856","2079","2093","39"
"PF090316","1","1.02A","06","C46","2625","2825","2837","C46"
"PF090316","1","1.02A","07","R35","3494","3636","3648","R35"
"PF090316","1","1.02A","08","SNF","3951","3951","3951","SNF"
"PF090316","1","1.02A","09","SNF","4293","4293","4293","SNF"
"PF090316","1","1.02A","10","C47","4337","4501","4511","C47"
"PF090316","1","1.02A","11","R33","5104","5207","5219","R33"
"PF090316","1","1.02A","12","C48","5881","6076","6088","C48"
"PF090316","1","1.02A","13","26","6653","6785","6803","26"
"PF090316","1","1.02A","14","XX","7417","7483","7483","XX"
"PF090316","1","1.03A","01","X","16","136","136","X"
"PF090316","1","1.03A","02","13","159","208","219","13"
"PF090316","1","1.03A","03","25","930","1089","1108","25"
"PF090316","1","1.03A","04","39","1695","1899","1915","39"
"PF090316","1","1.03A","05","C46","2474","2646","2661","C46"
"PF090316","1","1.03A","06","R33","3243","3354","3372","R33"
"PF090316","1","1.03A","07","C47","4009","4161","4179","C47"
"PF090316","1","1.03A","08","R35","4855","4986","4998","R35"
"PF090316","1","1.03A","09","C48","5621","5788","5807","C48"
"PF090316","1","1.03A","10","26","6384","6497","6524","26"
"PF090316","1","1.03A","11","XX","7161","7221","7221","XX"
