"examName","seriesName","chartName","Event","Label","Begin","End","Answer","Statement"
"PF090502","1","1_01A","01","X","22","74","74","X"
"PF090502","1","1_01A","02","13","108","167","179","13"
"PF090502","1","1_01A","03","MV","895","895","895","MV"
"PF090502","1","1_01A","04","MI","955","955","955","MI"
"PF090502","1","1_01A","05","25","997","1158","1178","25"
"PF090502","1","1_02A","01","X","12","55","55","X"
"PF090502","1","1_02A","02","13","130","182","189","13"
"PF090502","1","1_02A","03","25","905","1071","1103","25"
"PF090502","1","1_02A","04","39","1678","1926","1939","39"
"PF090502","1","1_02A","05","C46","2462","2672","2707","C46"
"PF090502","1","1_02A","06","R33","3248","3430","3443","R33"
"PF090502","1","1_02A","07","C47","4023","4221","4256","C47"
"PF090502","1","1_02A","08","R35","4799","4911","4925","R35"
"PF090502","1","1_02A","09","C48","5568","5766","5786","C48"
"PF090502","1","1_02A","10","26","6338","6471","6488","26"
"PF090502","1","1_02A","11","XX","7108","7176","7176","XX"
"PF090502","1","1_03A","01","X","18","179","179","X"
"PF090502","1","1_03A","02","13","247","303","315","13"
"PF090502","1","1_03A","03","25","1019","1173","1191","25"
"PF090502","1","1_03A","04","39","1789","2024","2037","39"
"PF090502","1","1_03A","05","C46","2577","2741","2761","C46"
"PF090502","1","1_03A","06","R35","3346","3435","3454","R35"
"PF090502","1","1_03A","07","C47","4114","4260","4284","C47"
"PF090502","1","1_03A","08","R33","4900","5062","5082","R33"
"PF090502","1","1_03A","09","C48","5664","5820","5843","C48"
"PF090502","1","1_03A","10","26","6426","6548","6567","26"
"PF090502","1","1_03A","11","XX","7192","7252","7252","XX"
"PF090502","1","1_04A","01","X","9","141","141","X"
"PF090502","1","1_04A","02","13","207","265","272","13"
"PF090502","1","1_04A","03","25","968","1135","1147","25"
"PF090502","1","1_04A","04","39","1738","2031","2050","39"
"PF090502","1","1_04A","05","C46","2521","2729","2749","C46"
"PF090502","1","1_04A","06","R33","3333","3531","3551","R33"
"PF090502","1","1_04A","07","C47","4153","4311","4338","C47"
"PF090502","1","1_04A","08","R35","4937","5057","5071","R35"
"PF090502","1","1_04A","09","C48","5771","5939","5956","C48"
"PF090502","1","1_04A","10","26","6586","6711","6725","26"
"PF090502","1","1_04A","11","XX","7350","7412","7412","XX"
