Sample,Time,Label,UPneumo,LPneumo,EDA1,Cardio1,Move1,DE,Aux02
2509,01:23.59,,52841.0,39748.0,119497.0,39152.0,,14.0,80.0
2510,01:23.63,,52820.0,39721.0,119494.0,39120.0,,13.0,96.0
2511,01:23.66,,52804.0,39705.0,119502.0,39066.0,,12.0,85.0
2512,01:23.70,,52772.0,39681.0,119507.0,39016.0,,12.0,85.0
2513,01:23.73,,52744.0,39663.0,119495.0,38950.0,,10.0,80.0
2514,01:23.76,,52709.0,39653.0,119484.0,38870.0,,9.0,83.0
2515,01:23.79,,52687.0,39634.0,119490.0,38755.0,,7.0,83.0
2516,01:23.83,,52660.0,39625.0,119506.0,38672.0,,7.0,90.0
2517,01:23.86,,52633.0,39599.0,119510.0,38906.0,,6.0,85.0
2518,01:23.90,,52623.0,39545.0,119507.0,39653.0,,6.0,90.0
2519,01:23.93,,52609.0,39471.0,119511.0,39904.0,,5.0,82.0
2520,01:23.96,,52607.0,39439.0,119509.0,39936.0,,4.0,90.0
2521,01:24.00,,52596.0,39439.0,119502.0,39834.0,,3.0,85.0
2522,01:24.03,,52596.0,39455.0,119499.0,39744.0,,3.0,85.0
2523,01:24.06,,52585.0,39457.0,119495.0,39557.0,,2.0,85.0
2524,01:24.09,,52569.0,39471.0,119480.0,39408.0,,1.0,80.0
2525,01:24.13,,52559.0,39471.0,119478.0,39408.0,,1.0,80.0
2526,01:24.16,,52559.0,39471.0,119490.0,39418.0,,1.0,96.0
2527,01:24.20,,52561.0,39476.0,119495.0,39453.0,,1.0,85.0
2528,01:24.23,,52571.0,39506.0,119495.0,39372.0,,1.0,86.0
2529,01:24.26,,52578.0,39519.0,119496.0,39235.0,,2.0,83.0
2530,01:24.29,,52597.0,39528.0,119496.0,39100.0,,2.0,89.0
2531,01:24.33,,52617.0,39545.0,119481.0,39029.0,,1.0,90.0
2532,01:24.36,,52644.0,39572.0,119473.0,38960.0,,1.0,85.0
2533,01:24.40,,52687.0,39615.0,119478.0,38933.0,,1.0,85.0
2534,01:24.43,,52743.0,39676.0,119503.0,38872.0,,1.0,85.0
2535,01:24.46,,52815.0,39759.0,119517.0,38821.0,,1.0,80.0
2536,01:24.50,,52863.0,39817.0,119502.0,38794.0,,1.0,80.0
2537,01:24.53,,52911.0,39887.0,119496.0,38725.0,,1.0,80.0
2538,01:24.56,,52980.0,39969.0,119501.0,38608.0,,2.0,85.0
2539,01:24.59,,53039.0,40052.0,119498.0,38528.0,,3.0,80.0
2540,01:24.63,,53076.0,40089.0,119495.0,38704.0,,4.0,96.0
2541,01:24.66,,53119.0,40095.0,119496.0,39445.0,,4.0,85.0
2542,01:24.70,,53207.0,40111.0,119500.0,39733.0,,5.0,90.0
2543,01:24.73,,53336.0,40213.0,119494.0,39753.0,,5.0,80.0
2544,01:24.76,,53451.0,40354.0,119475.0,39603.0,,3.0,89.0
2545,01:24.79,,53563.0,40479.0,119471.0,39382.0,,2.0,86.0
2546,01:24.83,,53657.0,40585.0,119473.0,39237.0,,1.0,80.0
2547,01:24.86,,53727.0,40655.0,119484.0,39253.0,,2.0,90.0
2548,01:24.90,,53796.0,40724.0,119491.0,39269.0,,3.0,80.0
2549,01:24.93,,53905.0,40828.0,119483.0,39290.0,,1.0,82.0
2550,01:24.96,,54020.0,40959.0,119487.0,39242.0,,1.0,80.0
2551,01:25.00,,54095.0,41049.0,119491.0,39162.0,,1.0,90.0
2552,01:25.03,,54175.0,41124.0,119501.0,39088.0,,1.0,90.0
2553,01:25.06,,54297.0,41241.0,119488.0,38960.0,,1.0,88.0
2554,01:25.09,,54415.0,41348.0,119479.0,38880.0,,1.0,85.0
2555,01:25.13,,54511.0,41417.0,119478.0,38805.0,,1.0,85.0
2556,01:25.16,,54591.0,41487.0,119487.0,38768.0,,1.0,80.0
2557,01:25.20,,54708.0,41607.0,119495.0,38714.0,,1.0,80.0
2558,01:25.23,,54811.0,41727.0,119493.0,38656.0,,1.0,89.0
2559,01:25.26,,54856.0,41794.0,119492.0,38572.0,,2.0,83.0
2560,01:25.29,,54850.0,41803.0,119491.0,38460.0,,3.0,86.0
2561,01:25.33,,54815.0,41748.0,119488.0,38448.0,,4.0,80.0
2562,01:25.36,,54777.0,41673.0,119485.0,38928.0,,4.0,80.0
2563,01:25.40,,54740.0,41583.0,119484.0,39466.0,,4.0,80.0
2564,01:25.43,,54668.0,41463.0,119487.0,39608.0,,4.0,85.0
2565,01:25.46,,54580.0,41375.0,119472.0,39573.0,,3.0,85.0
2566,01:25.50,,54516.0,41327.0,119470.0,39472.0,,2.0,85.0
2567,01:25.53,,54452.0,41295.0,119481.0,39370.0,,1.0,85.0
2568,01:25.56,,54356.0,41209.0,119489.0,39152.0,,1.0,90.0
2569,01:25.59,,54260.0,41135.0,119488.0,39045.0,,2.0,85.0
2570,01:25.63,,54201.0,41071.0,119482.0,39072.0,,2.0,80.0
