"Sample","Time","Label","UPneumo","LPneumo","EDA1","Cardio1","Move1","DE","Aux01"
1," 00:00.00"," --------",34104,38310,116400,38203,-9.9,1,50120
2," 00:00.03"," --------",34015,38303,116404,38056,-9.9,1,50104
3," 00:00.06"," --------",33999,38319,116403,38056,-9.9,1,49752
4," 00:00.10"," --------",33983,38335,116402,38048,-9.9,1,49464
5," 00:00.13"," --------",33959,38335,116402,38016,-9.9,1,49200
6," 00:00.16"," --------",33943,38335,116403,38008,-9.9,1,48840
7," 00:00.20"," --------",33915,38325,116396,37974,-9.9,1,48396
8," 00:00.23"," --------",33881,38313,116393,37930,-9.9,1,48096
9," 00:00.26"," --------",33844,38308,116388,37893,-9.9,1,48122
10," 00:00.30"," --------",33839,38329,116383,37850,-9.9,1,48016
11," 00:00.33"," --------",33839,38335,116378,37752,-9.9,1,47778
12," 00:00.36"," -------X",33817,38335,116385,37685,-9.9,1,47557
13," 00:00.40"," -------X",33796,38335,116386,37658,-9.9,1,47365
14," 00:00.43"," -------X",33791,38335,116383,37616,-9.9,1,47168
15," 00:00.46"," -------X",33783,38329,116385,37592,-9.9,1,47061
16," 00:00.50"," -------X",33768,38315,116385,37609,-9.9,1,46950
17," 00:00.53"," -------X",33730,38267,116381,37916,-9.9,1,46886
18," 00:00.56"," -------X",33701,38191,116377,38070,-9.9,1,47603
19," 00:00.60"," -------X",33679,38132,116382,38090,-9.9,1,49130
20," 00:00.63"," -------X",33657,38089,116386,38074,-9.9,1,50069
21," 00:00.66"," -------X",33641,38063,116390,38064,-9.9,1,50533
22," 00:00.70"," -------X",33641,38036,116398,38005,-9.9,1,50261
23," 00:00.73"," -------X",33636,38025,116395,37909,-9.9,1,49824
24," 00:00.76"," -------X",33631,38031,116378,37872,-9.9,1,49472
25," 00:00.80"," -------X",33625,38031,116383,37856,-9.9,1,48992
26," 00:00.83"," -------X",33631,38041,116392,37818,-9.9,2,48341
27," 00:00.86"," -------X",33657,38063,116408,37776,-9.9,4,47936
28," 00:00.90"," -------X",33689,38073,116410,37744,-9.9,5,47888
29," 00:00.93"," -------X",33711,38100,116398,37722,-9.9,6,47834
30," 00:00.96"," -------X",33767,38124,116402,37680,-9.9,8,47704
31," 00:01.00"," -------X",33845,38171,116409,37596,-9.9,9,47417
32," 00:01.03"," -------X",33903,38200,116415,37526,-9.9,11,47168
33," 00:01.06"," -------X",33967,38219,116416,37468,-9.9,14,47027
34," 00:01.10"," -------X",34036,38271,116426,37493,-9.9,17,46832
35," 00:01.13"," -------X",34084,38292,116420,37680,-9.9,19,46752
36," 00:01.16"," -------X",34116,38297,116400,37861,-9.9,20,46752
37," 00:01.19"," -------X",34185,38289,116411,37962,-9.9,21,47634
38," 00:01.23"," -------X",34255,38319,116427,37957,-9.9,23,49274
39," 00:01.26"," -------X",34276,38356,116423,37952,-9.9,26,50122
40," 00:01.30"," -------X",34297,38383,116423,37930,-9.9,29,50410
41," 00:01.33"," -------X",34353,38463,116434,37834,-9.9,31,49997
42," 00:01.36"," -------X",34415,38559,116443,37760,-9.9,34,49413
43," 00:01.39"," -------X",34463,38617,116439,37738,-9.9,36,48954
44," 00:01.43"," -------X",34511,38671,116424,37738,-9.9,37,48400
45," 00:01.46"," -------X",34580,38729,116415,37752,-9.9,38,48000
46," 00:01.50"," -------X",34658,38805,116423,37680,-9.9,39,47830
47," 00:01.53"," -------X",34715,38891,116426,37625,-9.9,40,47820
48," 00:01.56"," -------X",34783,38994,116438,37558,-9.9,41,47664
49," 00:01.60"," -------X",34836,39076,116454,37509,-9.9,43,47461
