"Sample","Time","Label","UPneumo","LPneumo","EDA1","Cardio1","Move1","DE","Aux01"
1," 00:00.00"," --------",33674,38799,116409,42308,-9.9,1,47264
2," 00:00.03"," --------",33781,38871,116402,42150,-9.9,1,47112
3," 00:00.06"," --------",33812,38911,116402,42245,-9.9,1,47072
4," 00:00.10"," --------",33823,38895,116403,42570,-9.9,1,47061
5," 00:00.13"," --------",33844,38873,116404,42768,-9.9,1,47120
6," 00:00.16"," --------",33849,38844,116407,42853,-9.9,1,47632
7," 00:00.20"," --------",33823,38804,116404,42816,-9.9,1,48490
8," 00:00.23"," --------",33828,38788,116405,42778,-9.9,1,48602
9," 00:00.26"," -------X",33839,38761,116409,42714,-9.9,1,48576
10," 00:00.30"," -------X",33820,38721,116406,42602,-9.9,1,48429
11," 00:00.33"," -------X",33791,38699,116385,42534,-9.9,1,48041
12," 00:00.36"," -------X",33807,38674,116389,42537,-9.9,1,47680
13," 00:00.40"," -------X",33797,38626,116390,42524,-9.9,1,47660
14," 00:00.43"," -------X",33791,38581,116390,42432,-9.9,1,47667
15," 00:00.46"," -------X",33791,38536,116387,42310,-9.9,1,47612
16," 00:00.50"," -------X",33813,38501,116390,42172,-9.9,1,47401
17," 00:00.53"," -------X",33823,38479,116394,42128,-9.9,1,47269
18," 00:00.56"," -------X",33823,38457,116394,42128,-9.9,1,47253
19," 00:00.60"," -------X",33823,38431,116385,42085,-9.9,1,47253
20," 00:00.63"," -------X",33801,38399,116373,42218,-9.9,1,47285
21," 00:00.66"," -------X",33775,38356,116369,42517,-9.9,1,47130
22," 00:00.70"," -------X",33723,38245,116378,42742,-9.9,1,47241
23," 00:00.73"," -------X",33720,38152,116380,42777,-9.9,1,47971
24," 00:00.76"," -------X",33695,38111,116375,42742,-9.9,1,48809
25," 00:00.80"," -------X",33679,38095,116375,42704,-9.9,1,48936
26," 00:00.83"," -------X",33679,38087,116378,42648,-9.9,1,48856
27," 00:00.86"," -------X",33679,38079,116386,42600,-9.9,1,48752
28," 00:00.90"," -------X",33671,38063,116394,42560,-9.9,2,48664
29," 00:00.93"," -------X",33655,38063,116397,42528,-9.9,2,48608
30," 00:00.96"," -------X",33624,38031,116394,42480,-9.9,3,48355
31," 00:01.00"," -------X",33577,37993,116392,42480,-9.9,3,48069
32," 00:01.03"," -------X",33556,37961,116388,42469,-9.9,2,47930
33," 00:01.06"," -------X",33540,37940,116381,42426,-9.9,2,47813
34," 00:01.10"," -------X",33537,37937,116393,42376,-9.9,2,47725
35," 00:01.13"," -------X",33535,37922,116397,42265,-9.9,4,47616
36," 00:01.16"," -------X",33515,37890,116388,42179,-9.9,5,47478
37," 00:01.19"," -------X",33493,37858,116384,42102,-9.9,5,47356
38," 00:01.23"," -------X",33471,37833,116384,42016,-9.9,6,47146
39," 00:01.26"," -------X",33449,37817,116397,42074,-9.9,7,47136
40," 00:01.30"," -------X",33407,37791,116403,42352,-9.9,9,47120
41," 00:01.33"," -------X",33351,37692,116408,42666,-9.9,11,47178
42," 00:01.36"," -------X",33343,37604,116400,42736,-9.9,12,47866
43," 00:01.39"," -------X",33327,37583,116403,42704,-9.9,12,48592
44," 00:01.43"," -------X",33316,37583,116400,42677,-9.9,13,48880
45," 00:01.46"," -------X",33295,37577,116396,42624,-9.9,13,49050
46," 00:01.50"," -------X",33295,37588,116407,42517,-9.9,14,48778
47," 00:01.53"," -------X",33268,37599,116417,42453,-9.9,16,48560
48," 00:01.56"," -------X",33231,37583,116417,42432,-9.9,18,48389
49," 00:01.60"," -------X",33209,37588,116413,42421,-9.9,19,48037
50," 00:01.63"," -------X",33208,37611,116404,42384,-9.9,20,47766
51," 00:01.66"," -------X",33183,37631,116409,42342,-9.9,21,47692
52," 00:01.70"," -------X",33163,37621,116414,42233,-9.9,23,47574
53," 00:01.73"," -------X",33151,37615,116406,42144,-9.9,25,47413
54," 00:01.76"," -------X",33135,37599,116407,42106,-9.9,25,47322
55," 00:01.80"," -------X",33113,37599,116411,42042,-9.9,26,47205
56," 00:01.83"," -------X",33071,37564,116414,41949,-9.9,26,47101
57," 00:01.86"," -------X",33039,37545,116420,42080,-9.9,28,46992
58," 00:01.89"," -------X",33017,37529,116417,42405,-9.9,29,46885
59," 00:01.93"," -------X",32996,37487,116413,42581,-9.9,30,46912
60," 00:01.96"," -------X",33001,37436,116422,42650,-9.9,31,47682
61," 00:02.00"," -------X",32969,37412,116437,42640,-9.9,33,48698
62," 00:02.03"," -------X",32937,37417,116434,42602,-9.9,34,48906
63," 00:02.06"," -------X",32927,37407,116443,42549,-9.9,36,48928
64," 00:02.10"," -------X",32916,37423,116436,42434,-9.9,38,48650
65," 00:02.13"," -------X",32885,37429,116426,42364,-9.9,39,48211
66," 00:02.16"," -------X",32879,37426,116442,42358,-9.9,41,47766
67," 00:02.20"," -------X",32875,37423,116448,42326,-9.9,44,47584
68," 00:02.23"," -------X",32863,37423,116438,42277,-9.9,46,47520
69," 00:02.26"," -------X",32863,37423,116443,42250,-9.9,48,47466
70," 00:02.29"," -------X",32863,37433,116449,42181,-9.9,51,47360
71," 00:02.33"," -------X",32868,37439,116452,42074,-9.9,53,47160
72," 00:02.36"," -------X",32847,37439,116448,41984,-9.9,55,47088
73," 00:02.39"," -------X",32847,37439,116451,41930,-9.9,57,46981
74," 00:02.43"," -------X",32847,37449,116449,41866,-9.9,60,46805
75," 00:02.46"," -------X",32836,37455,116444,42008,-9.9,61,46778
76," 00:02.50"," -------X",32809,37428,116432,42400,-9.9,61,46778
77," 00:02.53"," -------X",32804,37391,116422,42522,-9.9,60,46901
78," 00:02.56"," -------X",32815,37353,116422,42565,-9.9,59,47386
79," 00:02.60"," -------X",32804,37335,116424,42546,-9.9,58,48410
80," 00:02.63"," -------X",32799,37343,116432,42454,-9.9,58,48684
81," 00:02.66"," -------X",32815,37368,116444,42326,-9.9,58,48486
82," 00:02.70"," -------X",32834,37410,116449,42256,-9.9,58,48016
83," 00:02.73"," -------X",32836,37423,116455,42256,-9.9,60,47744
84," 00:02.76"," -------X",32852,37428,116457,42240,-9.9,61,47536
85," 00:02.79"," -------X",32857,37444,116450,42229,-9.9,61,47434
86," 00:02.83"," -------X",32863,37468,116447,42189,-9.9,60,47429
87," 00:02.86"," -------X",32873,37471,116451,42096,-9.9,60,47365
88," 00:02.89"," -------X",32879,37471,116454,42042,-9.9,61,47205
89," 00:02.93"," -------X",32884,37487,116445,41984,-9.9,60,47104
90," 00:02.96"," -------X",32876,37479,116445,41901,-9.9,60,46970
91," 00:03.00"," -------X",32863,37465,116456,41845,-9.9,62,46890
92," 00:03.03"," -------X",32863,37455,116469,41802,-9.9,65,46816
93," 00:03.06"," -------X",32852,37455,116473,41850,-9.9,69,46762
94," 00:03.10"," -------X",32833,37428,116462,42240,-9.9,71,46738
95," 00:03.13"," -------X",32843,37349,116461,42470,-9.9,73,47187
96," 00:03.16"," -------X",32863,37317,116464,42454,-9.9,74,48262
97," 00:03.20"," -------X",32885,37333,116457,42380,-9.9,75,48694
98," 00:03.23"," -------X",32921,37369,116465,42256,-9.9,76,48442
99," 00:03.26"," -------X",32943,37385,116472,42208,-9.9,77,48288
