"Sample","Time","Label","UPneumo","LPneumo","EDA1","Cardio1","Move1","DE","Aux02"
1," 00:00.00"," --------",47946,37011,119963,43794,-9.9,1,86
2," 00:00.03"," --------",47877,36993,119961,43786,-9.9,1,84
3," 00:00.06"," --------",47833,36943,119954,43829,-9.9,1,85
4," 00:00.10"," --------",47801,36927,119970,43781,-9.9,1,85
5," 00:00.13"," --------",47791,36927,119980,43728,-9.9,2,85
6," 00:00.16"," --------",47785,36927,119977,43658,-9.9,3,80
7," 00:00.20"," --------",47780,36927,119967,43552,-9.9,4,85
8," 00:00.23"," --------",47759,36916,119958,43450,-9.9,3,80
9," 00:00.26"," --------",47737,36900,119954,43354,-9.9,3,80
10," 00:00.30"," --------",47721,36889,119959,43269,-9.9,2,80
11," 00:00.33"," --------",47687,36863,119957,43488,-9.9,2,88
12," 00:00.36"," --------",47679,36793,119958,44197,-9.9,2,85
13," 00:00.40"," --------",47689,36724,119960,44181,-9.9,1,85
14," 00:00.43"," --------",47695,36671,119956,44229,-9.9,1,90
15," 00:00.46"," --------",47729,36663,119948,44040,-9.9,1,93
16," 00:00.50"," -------X",47797,36715,119949,43744,-9.9,1,89
17," 00:00.53"," -------X",47874,36783,119946,43542,-9.9,1,86
18," 00:00.56"," -------X",47973,36863,119945,43561,-9.9,1,80
19," 00:00.60"," -------X",48068,36927,119945,43616,-9.9,1,85
20," 00:00.63"," -------X",48137,36985,119942,43616,-9.9,1,85
21," 00:00.66"," -------X",48217,37071,119944,43584,-9.9,1,85
22," 00:00.70"," -------X",48345,37215,119944,43469,-9.9,1,88
23," 00:00.73"," -------X",48479,37359,119942,43290,-9.9,1,90
24," 00:00.76"," -------X",48585,37455,119947,43210,-9.9,1,85
25," 00:00.80"," -------X",48692,37551,119950,43098,-9.9,1,90
26," 00:00.83"," -------X",48847,37700,119935,42981,-9.9,1,82
27," 00:00.86"," -------X",48991,37839,119919,43178,-9.9,1,90
28," 00:00.90"," -------X",49092,37887,119925,43866,-9.9,1,90
29," 00:00.93"," -------X",49231,37935,119935,43925,-9.9,1,80
30," 00:00.96"," -------X",49385,38089,119932,43941,-9.9,1,85
31," 00:01.00"," -------X",49551,38351,119926,43721,-9.9,1,83
32," 00:01.03"," -------X",49730,38607,119909,43401,-9.9,1,86
33," 00:01.06"," -------X",49912,38831,119923,43238,-9.9,1,83
34," 00:01.10"," -------X",50047,38991,119927,43274,-9.9,1,96
35," 00:01.13"," -------X",50143,39113,119923,43317,-9.9,1,85
36," 00:01.16"," -------X",50244,39231,119921,43349,-9.9,1,80
37," 00:01.19"," -------X",50444,39447,119916,43288,-9.9,1,85
38," 00:01.23"," -------X",50681,39695,119915,43194,-9.9,1,85
39," 00:01.26"," -------X",50847,39865,119907,43104,-9.9,1,85
40," 00:01.30"," -------X",50969,40020,119911,42992,-9.9,1,85
41," 00:01.33"," -------X",51127,40228,119924,42845,-9.9,1,80
42," 00:01.36"," -------X",51209,40404,119922,42746,-9.9,2,80
43," 00:01.39"," -------X",51215,40484,119921,42805,-9.9,1,85
44," 00:01.43"," -------X",51215,40500,119915,43456,-9.9,1,80
45," 00:01.46"," -------X",51207,40468,119919,43757,-9.9,1,88
46," 00:01.50"," -------X",51160,40399,119920,43721,-9.9,1,89
47," 00:01.53"," -------X",51106,40319,119912,43491,-9.9,1,86
48," 00:01.56"," -------X",51051,40226,119916,43200,-9.9,1,89
49," 00:01.60"," -------X",50980,40127,119915,43098,-9.9,1,85
50," 00:01.63"," -------X",50943,40047,119923,43114,-9.9,1,85
51," 00:01.66"," -------X",50895,39956,119920,43178,-9.9,1,85
52," 00:01.70"," -------X",50823,39831,119905,43229,-9.9,1,90
53," 00:01.73"," -------X",50751,39700,119908,43173,-9.9,1,85
54," 00:01.76"," -------X",50703,39604,119911,43109,-9.9,2,85
55," 00:01.80"," -------X",50655,39508,119919,43018,-9.9,2,80
56," 00:01.83"," -------X",50556,39351,119932,42874,-9.9,3,85
57," 00:01.86"," -------X",50463,39183,119919,42730,-9.9,3,85
58," 00:01.89"," -------X",50372,39065,119908,42688,-9.9,2,80
59," 00:01.93"," -------X",50276,38927,119893,42896,-9.9,1,85
60," 00:01.96"," -------X",50151,38673,119899,43629,-9.9,1,88
61," 00:02.00"," -------X",50021,38392,119913,43747,-9.9,1,89
62," 00:02.03"," -------X",49883,38219,119897,43580,-9.9,1,89
63," 00:02.06"," -------X",49771,38114,119912,43315,-9.9,1,89
64," 00:02.10"," -------X",49673,38031,119919,43114,-9.9,1,90
65," 00:02.13"," -------X",49588,37977,119903,43109,-9.9,1,80
66," 00:02.16"," -------X",49508,37897,119893,43114,-9.9,1,85
67," 00:02.20"," -------X",49412,37783,119900,43192,-9.9,1,82
68," 00:02.23"," -------X",49327,37684,119904,43184,-9.9,1,80
69," 00:02.26"," -------X",49263,37631,119897,43130,-9.9,1,80
70," 00:02.29"," -------X",49199,37583,119902,43061,-9.9,1,90
71," 00:02.33"," -------X",49087,37511,119921,42928,-9.9,1,93
72," 00:02.36"," -------X",48969,37439,119905,42773,-9.9,1,85
73," 00:02.39"," -------X",48900,37391,119888,42709,-9.9,1,85
74," 00:02.43"," -------X",48815,37348,119886,42709,-9.9,1,90
75," 00:02.46"," -------X",48700,37225,119903,43432,-9.9,1,90
76," 00:02.50"," -------X",48639,37103,119903,43664,-9.9,1,85
77," 00:02.53"," -------X",48628,37071,119897,43712,-9.9,1,85
78," 00:02.56"," -------X",48601,37087,119892,43605,-9.9,1,85
79," 00:02.60"," -------X",48540,37140,119877,43410,-9.9,1,82
80," 00:02.63"," -------X",48485,37195,119874,43129,-9.9,1,92
81," 00:02.66"," -------X",48443,37247,119875,43113,-9.9,1,86
82," 00:02.70"," -------X",48418,37279,119891,43171,-9.9,1,86
83," 00:02.73"," -------X",48399,37279,119894,43189,-9.9,1,85
84," 00:02.76"," -------X",48399,37284,119866,43157,-9.9,1,96
85," 00:02.79"," -------X",48399,37295,119860,43098,-9.9,1,80
86," 00:02.83"," -------X",48385,37311,119872,42965,-9.9,1,80
87," 00:02.86"," -------X",48356,37327,119885,42821,-9.9,1,80
88," 00:02.89"," -------X",48335,37343,119895,42730,-9.9,1,80
89," 00:02.93"," -------X",48319,37348,119902,42672,-9.9,2,85
90," 00:02.96"," -------X",48281,37345,119897,42978,-9.9,2,88
91," 00:03.00"," -------X",48242,37247,119879,43654,-9.9,1,89
92," 00:03.03"," -------X",48245,37141,119881,43696,-9.9,1,86
93," 00:03.06"," -------X",48223,37122,119876,43507,-9.9,1,86
94," 00:03.10"," -------X",48217,37140,119872,43328,-9.9,1,96
95," 00:03.13"," -------X",48207,37151,119875,43157,-9.9,1,80
96," 00:03.16"," -------X",48185,37167,119882,43072,-9.9,1,85
97," 00:03.20"," -------X",48175,37161,119883,43112,-9.9,1,85
98," 00:03.23"," -------X",48164,37140,119880,43178,-9.9,1,90
99," 00:03.26"," -------X",48153,37119,119886,43152,-9.9,2,80
