"Sample","Time","Label","UPneumo","LPneumo","EDA1","Cardio1","Move1","DE","Aux01"
77," 00:02.53"," -------X",33179,38379,116704,42025,-9.9,57,48569
78," 00:02.56"," -------X",33045,38264,116685,41923,-9.9,60,48224
79," 00:02.60"," -------X",33007,38169,116696,41925,-9.9,63,47973
80," 00:02.63"," -------X",33017,38127,116700,41914,-9.9,66,47904
81," 00:02.66"," -------X",33044,38111,116701,41909,-9.9,68,47712
82," 00:02.70"," -------X",33073,38079,116710,41930,-9.9,72,47728
83," 00:02.73"," -------X",33119,38052,116706,41888,-9.9,74,47786
84," 00:02.76"," -------X",33167,38036,116698,41808,-9.9,76,47765
85," 00:02.79"," -------X",33204,38031,116697,41738,-9.9,78,47637
86," 00:02.83"," -------X",33212,38015,116692,41677,-9.9,79,47440
87," 00:02.86"," -------X",33231,37999,116688,41653,-9.9,80,47274
88," 00:02.89"," -------X",33231,37988,116697,41845,-9.9,82,47280
89," 00:02.93"," -------X",33220,37956,116694,42117,-9.9,83,47301
90," 00:02.96"," -------X",33185,37863,116701,42248,-9.9,85,47578
91," 00:03.00"," -------X",33199,37794,116709,42278,-9.9,86,48352
92," 00:03.03"," -------X",33227,37807,116713,42214,-9.9,87,48604
93," 00:03.06"," -------X",33247,37861,116695,42073,-9.9,87,48336
94," 00:03.10"," -------X",33247,37908,116694,42010,-9.9,87,48170
95," 00:03.13"," -------X",33247,37924,116707,41973,-9.9,88,48026
96," 00:03.16"," -------X",33247,37945,116706,41978,-9.9,88,47946
97," 00:03.20"," -------X",33292,38007,116688,41957,-9.9,87,47728
98," 00:03.23"," -------X",33348,38063,116685,41952,-9.9,85,47600
99," 00:03.26"," -------X",33369,38089,116700,41941,-9.9,85,47594
100," 00:03.29"," -------X",33401,38127,116716,41882,-9.9,87,47578
101," 00:03.33"," -------X",33455,38167,116706,41789,-9.9,87,47496
102," 00:03.36"," -------X",33487,38207,116702,41669,-9.9,88,47456
103," 00:03.39"," -------X",33497,38239,116701,41632,-9.9,89,47450
104," 00:03.43"," -------X",33524,38287,116701,41664,-9.9,89,47269
105," 00:03.46"," -------X",33561,38337,116711,41986,-9.9,90,47154
106," 00:03.50"," -------X",33634,38363,116716,42153,-9.9,90,47644
107," 00:03.53"," -------X",33682,38437,116709,42128,-9.9,90,48144
108," 00:03.56"," -------X",33720,38527,116715,42035,-9.9,91,48230
109," 00:03.60"," -------X",33759,38585,116725,41920,-9.9,93,48090
110," 00:03.63"," -------X",33801,38644,116722,41877,-9.9,94,47936
111," 00:03.66"," -------X",33807,38692,116716,41845,-9.9,95,47856
112," 00:03.70"," -------X",33833,38783,116710,41845,-9.9,97,47722
113," 00:03.73"," -------X",33913,38884,116699,41824,-9.9,97,47525
114," 00:03.76"," -------X",33967,38932,116696,41813,-9.9,97,47584
115," 00:03.79"," -------X",34004,39007,116698,41781,-9.9,96,47568
116," 00:03.83"," -------X",34047,39073,116703,41736,-9.9,96,47498
117," 00:03.86"," -------X",34089,39113,116711,41658,-9.9,96,47354
118," 00:03.89"," -------X",34111,39135,116721,41610,-9.9,98,47328
119," 00:03.93"," -------X",34121,39145,116725,41546,-9.9,99,47413
120," 00:03.96"," -------X",34172,39185,116730,41650,-9.9,101,47277
121," 00:04.00"," -------X",34210,39167,116735,42035,-9.9,102,47219
122," 00:04.03"," -------X",34223,39096,116729,42128,-9.9,103,47744
123," 00:04.06"," -------X",34184,39045,116732,42076,-9.9,104,48297
124," 00:04.09"," -------X",34175,39001,116747,41984,-9.9,106,48288
125," 00:04.13"," -------X",34196,38959,116738,41893,-9.9,107,48197
126," 00:04.16"," -------X",34212,38932,116726,41834,-9.9,108,48112
127," 00:04.20"," -------X",34193,38903,116731,41826,-9.9,109,47989
128," 00:04.23"," -------X",34175,38884,116727,41797,-9.9,111,47669
129," 00:04.26"," -------X",34159,38868,116734,41792,-9.9,113,47722
130," 00:04.29"," -------X",34159,38863,116754,41770,-9.9,117,47728
131," 00:04.33"," -------X",34175,38836,116765,41722,-9.9,121,47677
132," 00:04.36"," -------X",34153,38783,116782,41664,-9.9,126,47626
133," 00:04.40"," -------X",34132,38756,116774,41600,-9.9,129,47605
134," 00:04.43"," -------X",34121,38735,116757,41562,-9.9,132,47525
135," 00:04.46"," -------X",34084,38708,116765,41522,-9.9,134,47488
136," 00:04.50"," -------X",34024,38664,116779,41808,-9.9,137,47488
137," 00:04.53"," -------X",33979,38568,116767,42038,-9.9,139,47510
138," 00:04.56"," -------X",33954,38463,116761,42089,-9.9,141,48179
139," 00:04.59"," -------X",33913,38409,116788,42058,-9.9,144,48640
140," 00:04.63"," -------X",33892,38383,116795,42021,-9.9,148,48624
141," 00:04.66"," -------X",33876,38356,116790,41962,-9.9,152,48544
142," 00:04.70"," -------X",33860,38313,116786,41853,-9.9,156,48426
143," 00:04.73"," -------X",33828,38292,116788,41781,-9.9,160,48197
144," 00:04.76"," -------X",33796,38265,116795,41797,-9.9,164,48128
145," 00:04.79"," -------X",33780,38239,116801,41792,-9.9,167,48010
146," 00:04.83"," -------X",33748,38217,116795,41765,-9.9,169,47992
147," 00:04.86"," -------X",33743,38217,116785,41696,-9.9,169,47872
148," 00:04.90"," -------X",33743,38217,116780,41642,-9.9,170,47792
149," 00:04.93"," -------X",33716,38196,116782,41578,-9.9,171,47792
150," 00:04.96"," -------X",33684,38185,116790,41533,-9.9,173,47701
151," 00:05.00"," -------X",33653,38165,116793,41484,-9.9,174,47657
152," 00:05.03"," -------X",33621,38149,116793,41676,-9.9,176,47536
153," 00:05.06"," -------X",33576,38095,116783,41990,-9.9,177,47472
154," 00:05.09"," -------X",33551,38025,116776,42080,-9.9,176,47904
155," 00:05.13"," -------X",33540,37972,116790,42085,-9.9,176,48448
156," 00:05.16"," -------X",33492,37935,116797,42058,-9.9,176,48736
157," 00:05.20"," -------X",33444,37873,116796,41970,-9.9,177,48842
158," 00:05.23"," -------X",33417,37839,116794,41781,-9.9,178,48613
159," 00:05.26"," -------X",33407,37828,116802,41674,-9.9,178,48576
160," 00:05.29"," -------X",33407,37839,116814,41626,-9.9,179,48416
161," 00:05.33"," -------X",33423,37857,116813,41586,-9.9,180,48109
162," 00:05.36"," -------X",33423,37876,116806,41610,-9.9,181,47850
163," 00:05.40"," -------X",33423,37892,116805,41621,-9.9,183,47829
164," 00:05.43"," -------X",33423,37908,116807,41616,-9.9,185,47808
165," 00:05.46"," -------X",33412,37916,116806,41560,-9.9,186,47786
166," 00:05.50"," -------X",33391,37896,116801,41440,-9.9,186,47817
167," 00:05.53"," -------X",33391,37922,116801,41344,-9.9,187,47580
168," 00:05.56"," -------X",33400,37963,116804,41315,-9.9,188,47443
169," 00:05.59"," -------X",33423,37993,116800,41296,-9.9,190,47349
170," 00:05.63"," -------X",33423,38015,116798,41402,-9.9,190,47312
171," 00:05.66"," -------X",33391,38009,116802,41669,-9.9,191,47312
172," 00:05.70"," -------X",33361,37956,116795,41869,-9.9,191,47504
173," 00:05.73"," -------X",33359,37892,116799,41941,-9.9,191,48202
174," 00:05.76"," -------X",33337,37865,116808,41920,-9.9,191,48618
175," 00:05.79"," -------X",33305,37849,116810,41904,-9.9,191,48768
176," 00:05.83"," -------X",33284,37828,116801,41813,-9.9,190,48821
177," 00:05.86"," -------X",33305,37833,116787,41685,-9.9,189,48698
178," 00:05.90"," -------X",33305,37849,116794,41648,-9.9,188,48533
179," 00:05.93"," -------X",33289,37839,116805,41621,-9.9,188,48432
180," 00:05.96"," --------",33263,37825,116800,41602,-9.9,188,48168
181," 00:06.00"," --------",33250,37823,116788,41558,-9.9,187,48025
182," 00:06.03"," --------",33247,37842,116786,41459,-9.9,186,47952
183," 00:06.06"," --------",33269,37861,116778,41385,-9.9,184,47740
184," 00:06.09"," --------",33300,37881,116773,41317,-9.9,182,47568
185," 00:06.13"," --------",33311,37897,116780,41285,-9.9,181,47493
186," 00:06.16"," --------",33311,37908,116789,41264,-9.9,180,47418
187," 00:06.20"," --------",33297,37924,116784,41210,-9.9,180,47400
188," 00:06.23"," --------",33332,37956,116773,41152,-9.9,178,47226
189," 00:06.26"," --------",33353,37977,116759,41130,-9.9,175,47200
190," 00:06.29"," --------",33375,38004,116763,41098,-9.9,172,47178
191," 00:06.33"," --------",33399,38036,116785,41069,-9.9,170,47170
192," 00:06.36"," --------",33407,38073,116788,40992,-9.9,171,47157
193," 00:06.40"," --------",33423,38095,116788,40938,-9.9,170,47226
