"Sample","Time","Label","UPneumo","LPneumo","EDA1","Cardio1","Move1","DE","Aux01"
1," 00:00.00"," --------",34928,39335,116416,39650,-9.9,1,47056
2," 00:00.03"," --------",35044,39455,116427,39840,-9.9,1,46842
3," 00:00.06"," --------",35055,39444,116411,40064,-9.9,1,46917
4," 00:00.10"," --------",35081,39439,116411,40149,-9.9,1,47109
5," 00:00.13"," --------",35113,39465,116428,40154,-9.9,1,47424
6," 00:00.16"," --------",35129,39503,116442,40128,-9.9,3,47861
7," 00:00.20"," --------",35157,39557,116440,40089,-9.9,5,48112
8," 00:00.23"," --------",35243,39640,116440,39961,-9.9,6,48099
9," 00:00.26"," --------",35317,39727,116439,39894,-9.9,8,47891
10," 00:00.30"," --------",35375,39791,116435,39861,-9.9,9,47546
11," 00:00.33"," --------",35423,39839,116448,39877,-9.9,11,47424
12," 00:00.36"," --------",35471,39871,116464,39893,-9.9,14,47370
13," 00:00.40"," --------",35559,39959,116466,39850,-9.9,18,47242
14," 00:00.43"," --------",35631,40036,116462,39792,-9.9,21,47232
15," 00:00.46"," --------",35679,40068,116449,39765,-9.9,23,47248
16," 00:00.50"," --------",35732,40084,116443,39722,-9.9,25,47264
17," 00:00.53"," --------",35812,40119,116457,39664,-9.9,27,47216
18," 00:00.56"," --------",35871,40148,116465,39605,-9.9,30,47162
19," 00:00.60"," --------",35929,40185,116461,39600,-9.9,34,47008
20," 00:00.63"," --------",35945,40191,116461,39813,-9.9,36,47008
21," 00:00.66"," --------",35927,40156,116455,40085,-9.9,37,47010
22," 00:00.70"," -------X",35915,40127,116472,40172,-9.9,39,47552
23," 00:00.73"," -------X",35896,40104,116465,40137,-9.9,41,48019
24," 00:00.76"," -------X",35912,40079,116462,40038,-9.9,42,48022
25," 00:00.80"," -------X",35908,40036,116455,39946,-9.9,44,47898
26," 00:00.83"," -------X",35892,40025,116453,39920,-9.9,44,47802
27," 00:00.86"," -------X",35855,40004,116453,39893,-9.9,43,47616
28," 00:00.90"," -------X",35823,39975,116457,39898,-9.9,43,47498
29," 00:00.93"," -------X",35791,39945,116468,39872,-9.9,43,47424
30," 00:00.96"," -------X",35780,39929,116468,39840,-9.9,44,47301
31," 00:01.00"," -------X",35759,39908,116467,39834,-9.9,46,47381
32," 00:01.03"," -------X",35743,39871,116472,39757,-9.9,47,47394
33," 00:01.06"," -------X",35727,39844,116463,39701,-9.9,47,47253
34," 00:01.10"," -------X",35695,39807,116459,39653,-9.9,47,47221
35," 00:01.13"," -------X",35668,39769,116450,39621,-9.9,46,47248
36," 00:01.16"," -------X",35628,39721,116450,39805,-9.9,45,47237
37," 00:01.19"," -------X",35573,39631,116458,40147,-9.9,45,47174
38," 00:01.23"," -------X",35525,39535,116444,40230,-9.9,43,47776
39," 00:01.26"," -------X",35464,39474,116441,40198,-9.9,42,48275
40," 00:01.30"," -------X",35423,39428,116440,40176,-9.9,41,48389
41," 00:01.33"," -------X",35407,39401,116436,40112,-9.9,40,48314
42," 00:01.36"," -------X",35407,39391,116440,40026,-9.9,39,48128
43," 00:01.39"," -------X",35359,39359,116445,39968,-9.9,38,47936
44," 00:01.43"," -------X",35288,39323,116446,39968,-9.9,36,47673
45," 00:01.46"," -------X",35263,39301,116457,39952,-9.9,36,47548
46," 00:01.50"," -------X",35237,39279,116462,39913,-9.9,35,47612
47," 00:01.53"," -------X",35225,39263,116457,39861,-9.9,34,47520
48," 00:01.56"," -------X",35215,39252,116462,39813,-9.9,34,47418
49," 00:01.60"," -------X",35193,39241,116459,39770,-9.9,34,47349
50," 00:01.63"," -------X",35159,39204,116463,39728,-9.9,35,47397
51," 00:01.66"," -------X",35129,39161,116466,39706,-9.9,36,47370
52," 00:01.70"," -------X",35103,39140,116464,39920,-9.9,37,47322
53," 00:01.73"," -------X",35071,39097,116466,40165,-9.9,38,47280
54," 00:01.76"," -------X",35031,39001,116475,40301,-9.9,40,47632
55," 00:01.80"," -------X",34996,38943,116468,40309,-9.9,42,48213
56," 00:01.83"," -------X",34964,38921,116457,40309,-9.9,44,48549
57," 00:01.86"," -------X",34932,38900,116462,40298,-9.9,45,48586
58," 00:01.89"," -------X",34927,38876,116461,40200,-9.9,46,48386
59," 00:01.93"," -------X",34905,38868,116446,40101,-9.9,46,48133
60," 00:01.96"," -------X",34868,38847,116448,40080,-9.9,46,48138
61," 00:02.00"," -------X",34841,38836,116465,40080,-9.9,46,47989
62," 00:02.03"," -------X",34823,38831,116468,40064,-9.9,47,47762
63," 00:02.06"," -------X",34815,38841,116447,40021,-9.9,46,47584
64," 00:02.10"," -------X",34804,38836,116442,39994,-9.9,44,47600
65," 00:02.13"," -------X",34793,38820,116440,39968,-9.9,43,47664
66," 00:02.16"," -------X",34799,38817,116459,39885,-9.9,42,47544
67," 00:02.20"," -------X",34783,38815,116466,39817,-9.9,43,47481
68," 00:02.23"," -------X",34754,38795,116464,39760,-9.9,42,47472
69," 00:02.26"," -------X",34751,38783,116472,39728,-9.9,42,47424
70," 00:02.29"," -------X",34740,38772,116472,40026,-9.9,42,47370
71," 00:02.33"," -------X",34708,38735,116469,40272,-9.9,43,47392
72," 00:02.36"," -------X",34703,38703,116465,40357,-9.9,43,47466
73," 00:02.39"," -------X",34695,38633,116465,40373,-9.9,44,48128
74," 00:02.43"," -------X",34661,38591,116478,40355,-9.9,46,48544
75," 00:02.46"," --------",34655,38565,116485,40304,-9.9,48,48540
76," 00:02.50"," --------",34645,38559,116468,40185,-9.9,49,48368
77," 00:02.53"," --------",34628,38575,116466,40144,-9.9,48,48224
78," 00:02.56"," --------",34617,38575,116477,40133,-9.9,50,47989
79," 00:02.60"," --------",34601,38564,116487,40144,-9.9,53,47877
80," 00:02.63"," --------",34596,38575,116481,40106,-9.9,56,47762
81," 00:02.66"," --------",34585,38575,116481,40058,-9.9,58,47706
82," 00:02.70"," --------",34575,38575,116467,40010,-9.9,58,47728
83," 00:02.73"," --------",34575,38575,116462,39941,-9.9,58,47680
84," 00:02.76"," --------",34577,38585,116485,39858,-9.9,58,47616
85," 00:02.79"," --------",34569,38596,116500,39824,-9.9,60,47562
86," 00:02.83"," --------",34559,38596,116490,39808,-9.9,62,47408
87," 00:02.86"," --------",34569,38607,116477,39754,-9.9,62,47413
88," 00:02.89"," --------",34575,38607,116475,39701,-9.9,63,47360
89," 00:02.93"," --------",34575,38607,116472,39674,-9.9,63,47397
90," 00:02.96"," --------",34559,38607,116460,39690,-9.9,61,47328
91," 00:03.00"," --------",34559,38607,116455,39978,-9.9,60,47338
92," 00:03.03"," --------",34564,38591,116465,40213,-9.9,60,47285
93," 00:03.06"," --------",34599,38559,116483,40362,-9.9,61,47610
94," 00:03.10"," --------",34584,38536,116479,40444,-9.9,60,48422
95," 00:03.13"," --------",34562,38507,116469,40441,-9.9,59,48729
96," 00:03.16"," --------",34555,38479,116464,40400,-9.9,58,48668
97," 00:03.20"," --------",34527,38463,116450,40316,-9.9,57,48444
98," 00:03.23"," --------",34482,38466,116471,40291,-9.9,58,48224
99," 00:03.26"," --------",34443,38485,116497,40256,-9.9,58,48105
100," 00:03.29"," --------",34420,38527,116495,40165,-9.9,58,47936
101," 00:03.33"," --------",34393,38553,116493,40101,-9.9,58,47898
102," 00:03.36"," --------",34393,38585,116490,40074,-9.9,59,47850
103," 00:03.39"," --------",34444,38617,116485,40021,-9.9,60,47645
104," 00:03.43"," --------",34479,38644,116494,39962,-9.9,61,47536
105," 00:03.46"," --------",34468,38665,116504,39930,-9.9,64,47509
106," 00:03.50"," --------",34473,38681,116491,39866,-9.9,67,47546
107," 00:03.53"," --------",34516,38729,116478,39749,-9.9,67,47474
108," 00:03.56"," ------13",34569,38788,116497,39722,-9.9,68,47296
109," 00:03.60"," ------13",34580,38809,116499,39946,-9.9,70,47253
110," 00:03.63"," ------13",34575,38809,116492,40186,-9.9,71,47328
111," 00:03.66"," ------13",34604,38823,116495,40298,-9.9,73,47565
112," 00:03.70"," ------13",34623,38852,116499,40309,-9.9,77,48144
113," 00:03.73"," ------13",34628,38879,116499,40325,-9.9,78,48448
114," 00:03.76"," ------13",34660,38911,116507,40304,-9.9,79,48496
115," 00:03.79"," ------13",34721,38977,116510,40229,-9.9,80,48440
116," 00:03.83"," ------13",34783,39044,116509,40181,-9.9,81,48293
117," 00:03.86"," ------13",34831,39076,116502,40170,-9.9,82,48192
118," 00:03.89"," ------13",34873,39119,116497,40170,-9.9,83,48074
119," 00:03.93"," ------13",34919,39175,116510,40173,-9.9,84,47872
120," 00:03.96"," ------13",34991,39269,116507,40105,-9.9,84,47856
121," 00:04.00"," ------13",35083,39336,116491,40022,-9.9,84,47856
122," 00:04.03"," ------13",35154,39413,116503,39926,-9.9,86,47664
123," 00:04.06"," ------13",35183,39476,116518,39861,-9.9,87,47600
124," 00:04.09"," ------13",35220,39529,116519,39802,-9.9,88,47429
125," 00:04.13"," ------13",35247,39572,116518,39744,-9.9,90,47509
126," 00:04.16"," ------13",35289,39623,116508,39690,-9.9,91,47442
127," 00:04.20"," ------13",35349,39647,116515,40016,-9.9,92,47353
128," 00:04.23"," ------13",35387,39650,116523,40313,-9.9,94,47318
129," 00:04.26"," ------13",35391,39685,116523,40364,-9.9,95,47968
