"Sample","Time","Label","UPneumo","LPneumo","EDA1","Cardio1","Move1","DE","Aux02"
1," 00:00.00"," --------",52827,38991,119821,40835,-9.9,1,86
2," 00:00.03"," --------",52703,38904,119807,40684,-9.9,1,89
3," 00:00.06"," --------",52626,38831,119811,40716,-9.9,1,92
4," 00:00.10"," --------",52585,38788,119811,40741,-9.9,1,90
5," 00:00.13"," --------",52543,38772,119815,40704,-9.9,1,80
6," 00:00.16"," --------",52516,38761,119823,40677,-9.9,1,85
7," 00:00.20"," --------",52492,38767,119832,40536,-9.9,2,88
8," 00:00.23"," --------",52472,38757,119841,40352,-9.9,3,86
9," 00:00.26"," --------",52475,38741,119833,40182,-9.9,4,80
10," 00:00.30"," --------",52443,38674,119840,40467,-9.9,5,83
11," 00:00.33"," --------",52431,38585,119845,41205,-9.9,7,85
12," 00:00.36"," --------",52431,38543,119841,41232,-9.9,8,80
13," 00:00.40"," --------",52431,38511,119836,41317,-9.9,9,80
14," 00:00.43"," --------",52449,38519,119833,41117,-9.9,10,82
15," 00:00.46"," --------",52511,38543,119831,40906,-9.9,11,85
16," 00:00.50"," --------",52559,38553,119832,40720,-9.9,11,90
17," 00:00.53"," --------",52591,38548,119839,40586,-9.9,13,80
18," 00:00.56"," --------",52577,38543,119838,40541,-9.9,15,90
19," 00:00.60"," --------",52532,38543,119830,40570,-9.9,16,90
20," 00:00.63"," --------",52527,38521,119831,40640,-9.9,18,80
21," 00:00.66"," --------",52532,38511,119830,40634,-9.9,18,80
22," 00:00.70"," --------",52527,38500,119837,40504,-9.9,18,88
23," 00:00.73"," --------",52517,38482,119842,40339,-9.9,18,83
24," 00:00.76"," --------",52504,38463,119833,40172,-9.9,18,83
25," 00:00.80"," --------",52488,38459,119821,40172,-9.9,17,89
26," 00:00.83"," --------",52527,38415,119817,40986,-9.9,15,90
27," 00:00.86"," --------",52575,38377,119829,41093,-9.9,14,90
28," 00:00.90"," --------",52649,38393,119836,41205,-9.9,14,85
29," 00:00.93"," --------",52748,38516,119829,41080,-9.9,14,90
30," 00:00.96"," --------",52831,38681,119826,40805,-9.9,14,85
31," 00:01.00"," --------",52895,38783,119829,40592,-9.9,14,85
32," 00:01.03"," -------X",52975,38879,119836,40448,-9.9,13,80
33," 00:01.06"," -------X",53095,39009,119855,40384,-9.9,15,82
34," 00:01.10"," -------X",53215,39151,119854,40405,-9.9,16,80
35," 00:01.13"," -------X",53305,39263,119859,40442,-9.9,18,85
36," 00:01.16"," -------X",53396,39359,119855,40426,-9.9,20,80
37," 00:01.19"," -------X",53559,39505,119848,40365,-9.9,20,85
38," 00:01.23"," -------X",53755,39701,119844,40208,-9.9,21,86
39," 00:01.26"," -------X",53915,39887,119846,40035,-9.9,21,80
40," 00:01.30"," -------X",54008,40008,119849,40019,-9.9,23,83
41," 00:01.33"," -------X",54047,40009,119847,40682,-9.9,25,85
42," 00:01.36"," -------X",54095,39993,119839,40933,-9.9,26,85
43," 00:01.39"," -------X",54132,39983,119836,41008,-9.9,26,80
44," 00:01.43"," -------X",54116,39980,119833,40938,-9.9,26,82
45," 00:01.46"," -------X",54073,39945,119836,40693,-9.9,27,80
46," 00:01.50"," -------X",54057,39903,119833,40496,-9.9,27,80
47," 00:01.53"," -------X",54025,39855,119833,40357,-9.9,27,80
48," 00:01.56"," -------X",53932,39751,119835,40280,-9.9,26,82
49," 00:01.60"," -------X",53849,39641,119825,40309,-9.9,24,90
50," 00:01.63"," -------X",53801,39567,119829,40373,-9.9,22,85
51," 00:01.66"," -------X",53759,39503,119835,40368,-9.9,20,90
52," 00:01.70"," -------X",53673,39417,119850,40285,-9.9,21,88
53," 00:01.73"," -------X",53563,39307,119855,40147,-9.9,21,83
54," 00:01.76"," -------X",53451,39202,119838,39990,-9.9,21,86
55," 00:01.80"," -------X",53323,39093,119825,40003,-9.9,19,80
56," 00:01.83"," -------X",53231,38943,119816,40741,-9.9,17,80
57," 00:01.86"," -------X",53193,38857,119827,40842,-9.9,16,85
58," 00:01.89"," -------X",53151,38799,119834,40960,-9.9,16,80
59," 00:01.93"," -------X",53089,38756,119837,40776,-9.9,16,85
60," 00:01.96"," -------X",53033,38751,119843,40586,-9.9,17,96
61," 00:02.00"," -------X",52991,38751,119837,40389,-9.9,17,96
62," 00:02.03"," -------X",52959,38745,119822,40213,-9.9,16,96
63," 00:02.06"," -------X",52913,38713,119814,40181,-9.9,15,85
