score,probLookup
-20,0.0005074
-19,0.0005074
-18,0.0005074
-17,0.0005074
-16,0.0005074
-15,0.0005074
-14,0.0005074
-13,0.001283
-12,0.002937
-11,0.006171
-10,0.01202
-9,0.02188
-8,0.03748
-7,0.06068
-6,0.09328
-5,0.1367
-4,0.1914
-3,0.2571
-2,0.3322
-1,0.4143
0,0.5
1,0.5857
2,0.6678
3,0.7429
4,0.8086
5,0.8633
6,0.9067
7,0.9393
8,0.9625
9,0.9781
10,0.988
11,0.9938
12,0.9971
13,0.9987
14,0.9995
15,0.9995
16,0.9995
17,0.9995
18,0.9995
19,0.9995
20,0.9995
