"score","ways","pmf","cdf","cdfContCor","odds","oddsLL001","oddsLL005","oddsLL01","oddsLL02","oddsLL03","oddsLL04","oddsLL05","oddsLL06","oddsLL07","oddsLL08","oddsLL09","oddsLL10","oddsLL11","oddsLL12","oddsLL13","oddsLL14","oddsLL15","oddsLL16","oddsLL17","oddsLL18","oddsLL19","oddsLL20","oddsLL21","oddsLL22","oddsLL23","oddsLL24","oddsLL25"
-12,1,0.000152415790275873,0.000152392563242914,0.000152438997843041,6559.00114242192,1.26485297517517,1.77952569391484,2.11456566250438,2.57015703870401,2.92110421406007,3.22418771120774,3.49964940287019,3.75735152407119,4.00295041376127,4.24004407640823,4.47109462742869,4.69788263535237,4.92175376692375,5.14376285470374,5.36476302407074,5.58546345770998,5.80646831149335,6.02830381164209,6.25143767337962,6.47629337892544,6.70326092490117,6.93270509170739,7.16497194144763,7.40039403012834,7.63929467535478,7.88199152409476,8.12879959918829
-11,1,0.00060966316110349,0.000761614623000762,0.000457629937780991,2184.17172379262,1.25986134024679,1.77250294677819,2.1062207085639,2.56001413205982,2.90957632417047,3.21146372801697,3.48583833348954,3.74252345513838,3.98715310965235,4.22331110227996,4.45344983190825,4.67934284020438,4.9023304833532,5.12346343110843,5.34359144206158,5.56342090016858,5.78355357705144,6.00451362222428,6.22676690511209,6.45073523669771,6.6768070745142,6.90534575938723,7.13669598771563,7.37118900310181,7.60914684720548,7.85088591342769,8.09671998139753
-10,2,0.00213382106386222,0.00288973384030419,0.00183206250756871,544.832904646403,1.2378247743681,1.74149963180292,2.06938024849372,2.5152362519318,2.85868415985175,3.15529117176122,3.42486661888535,3.67706199359728,3.91741276651901,4.14944005761933,4.37555337023174,4.59749522453985,4.81658253220619,5.0338475854436,5.25012527949269,5.46610964276196,5.68239192112776,5.8994870960673,6.11785288836098,6.33790373098487,6.56002128685921,6.78456254151977,7.01186616219006,7.24225759860355,7.47605325950465,7.71356400417424,7.95509812383947
-9,2,0.00487730528882792,0.00773547702108297,0.00535331690703249,185.800075049981,1.18448430754015,1.66645475851825,1.98020631145118,2.40684944417128,2.73549746108979,3.01932305449213,3.27728192995546,3.51860967679507,3.74860323058886,3.97063197885792,4.18700159438128,4.39937950849157,4.60902588436449,4.81692853057543,5.02388636497723,5.23056350883799,5.43752573000867,5.64526581833405,5.85422177044567,6.06479016053307,6.27733620486041,6.49220150570767,6.70971013641711,6.93017352241028,7.15389443771486,7.38117034603309,7.61229625367623
-8,3,0.0105166895290352,0.0180995475113122,0.0131021695867408,75.323237413442,1.08082148409212,1.52061120084785,1.80690407692775,2.19620857083185,2.4960942131562,2.75508016774559,2.99046318872627,3.21067059192393,3.42053573961784,3.6231331397587,3.82056667895692,4.01435785952035,4.20565655859393,4.39536413445118,4.5842095858419,4.7727989119592,4.96164836620079,5.15120761079353,5.34187631010301,5.53401633123151,5.72796092771575,5.92402180573947,6.12249467663333,6.32366371071868,6.52780518406931,6.7351905271787,6.94608892821346
-7,3,0.0182898948331047,0.0359227660529861,0.0276648220822514,35.1469882953471,0.925164502231563,1.30161689550598,1.54667864722846,1.8799165626663,2.13661348726569,2.35830098634787,2.55978478237203,2.74827851197086,2.92791944968323,3.10133932115458,3.27033901694576,3.43622091672446,3.59996929544458,3.76235570020313,3.92400414132507,4.08543334364154,4.24708521113462,4.40934464689551,4.57255375671068,4.73702229256277,4.90303551371702,5.07086023527709,5.24074958102897,5.41294679585423,5.58768836729506,5.76520663516062,5.9457320198671
-6,4,0.0307879896357263,0.0653556114150525,0.0525080448459124,18.0447007298511,0.89468702033642,1.2339864714376,1.44811265836155,1.73179053113024,1.94500861945416,2.12577039595048,2.28753751425436,2.43683469502283,2.57738407473934,2.71153869742291,2.84089673840992,2.96660342876048,3.08951466935305,3.21029243838319,3.3294637113631,3.44745857202685,3.56463582550136,3.68130077778734,3.79771792563988,3.91412023723239,4.03071608854834,4.14769455084766,4.26522949529185,4.38348283450502,4.50260712511096,4.62274769122778,4.74404438518151
-5,4,0.0445054107605548,0.107106376769299,0.0907099253689773,10.0241519429361,0.75208326413511,1.02620883763673,1.19586339478433,1.41700318429873,1.58070410340223,1.71791439745974,1.83955019168942,1.9508856111614,2.05492054469722,2.15354565082383,2.24804066060195,2.33931896723933,2.42806000567546,2.51478635982998,2.59991133008541,2.6837696677217,2.76663820641917,2.8487501645543,2.93030533694898,3.01147753377474,3.09242012648327,3.17327026182822,3.25415211977937,3.33517947294878,3.41645772783742,3.49808557649062,3.58015635185076
-4,5,0.0624904740131078,0.164108449289915,0.144770676179544,5.90747619883882,0.580335817855802,0.787406790411004,0.913863916545676,1.07686947136263,1.19627869617253,1.295584848749,1.38304972536879,1.4626562758066,1.536665603651,1.60650003478118,1.67312034263089,1.73721071156045,1.79927875388369,1.85971371962769,1.91882237909528,1.97685219043267,2.03400683999771,2.09045700669386,2.14634802563629,2.20180547587038,2.25693934081837,2.31184716451496,2.36661648686291,2.42132675196963,2.47605082531033,2.53085621645959,2.58580607751589
-3,4,0.0774272214601433,0.233696420993069,0.215228643267838,3.64622173339431,0.436586981818105,0.591366971729691,0.684392429532959,0.802663752794444,0.88817267515274,0.958586525179647,1.02009619182307,1.07567846138568,1.12701941297278,1.17517734557478,1.22086552135882,1.2645906218243,1.30672753247542,1.34756282380285,1.38732152977751,1.42618442215158,1.46429958759527,1.50179043954241,1.53876141660803,1.57530213278924,1.61149046356166,1.64739488342506,1.68307626603444,1.71858929149595,1.75398356189617,1.7893044970422,1.82459406254194
-2,5,0.0935832952293858,0.31581881533101,0.300583761611835,2.32685969008323,0.304450855208703,0.41556977579524,0.481902038289545,0.565664527636313,0.62580712286017,0.675066264227406,0.717899593208825,0.756448395008844,0.791924416644203,0.825087541519417,0.856449410274126,0.886373084649362,0.915126856623653,0.942915521897626,0.969899633245375,0.996207916126515,1.02194558660432,1.0472001055287,1.07204526951392,1.09654418903397,1.12075150171764,1.14471504767849,1.16847715862016,1.19207566459912,1.21554469104544,1.23891529772993,1.26221599709962
-1,4,0.101204084743179,0.405536332179931,0.397261632835016,1.51723276890246,0.200482929927376,0.2781761417955,0.324569810813628,0.383052354415393,0.424935868869575,0.459158950654619,0.488852724136913,0.515521884677095,0.540018101778275,0.562875479190003,0.584453606193545,0.605007594389313,0.62472589898799,0.643752303929698,0.662199458664122,0.680157608259839,0.697700442583964,0.714889142787855,0.731775258166171,0.748402800302712,0.764809799249522,0.781029481245387,0.797091174680973,0.813021017365932,0.8288425161557,0.844576995288381,0.860243959748285
0,5,0.106843468983387,0.5,0.5,1,0.126152909970649,0.1795140319312,0.211548166603198,0.251979282434873,0.280924985479826,0.304553000815366,0.325029464267074,0.343396933153832,0.360246116857101,0.375947735248638,0.390751503759346,0.404834639152919,0.418328072860411,0.43133169791634,0.443923761818225,0.456166926892956,0.468112332327781,0.479802405228932,0.491272859697132,0.502554152321723,0.513672563933227,0.524651018337288,0.535509712123176,0.546266606286565,0.556937815136021,0.5675379177405,0.578080210206098
1,4,0.101204084743179,0.594463667820069,0.602738367164984,1.51723276890246,0.200482929927376,0.278176141795499,0.324569810813628,0.383052354415393,0.424935868869575,0.459158950654619,0.488852724136913,0.515521884677095,0.540018101778275,0.562875479190003,0.584453606193544,0.605007594389313,0.62472589898799,0.643752303929698,0.662199458664121,0.680157608259839,0.697700442583964,0.714889142787854,0.731775258166171,0.748402800302711,0.764809799249521,0.781029481245387,0.797091174680973,0.813021017365931,0.8288425161557,0.844576995288381,0.860243959748285
2,5,0.0935832952293858,0.68418118466899,0.699416238388165,2.32685969008323,0.304450855208703,0.41556977579524,0.481902038289545,0.565664527636313,0.62580712286017,0.675066264227406,0.717899593208825,0.756448395008844,0.791924416644203,0.825087541519417,0.856449410274126,0.886373084649362,0.915126856623653,0.942915521897626,0.969899633245375,0.996207916126515,1.02194558660432,1.0472001055287,1.07204526951392,1.09654418903397,1.12075150171764,1.14471504767849,1.16847715862016,1.19207566459912,1.21554469104544,1.23891529772993,1.26221599709962
3,4,0.0774272214601433,0.766303579006931,0.784771356732162,3.64622173339431,0.436586981818105,0.591366971729691,0.684392429532959,0.802663752794444,0.888172675152739,0.958586525179647,1.02009619182306,1.07567846138568,1.12701941297278,1.17517734557478,1.22086552135882,1.2645906218243,1.30672753247541,1.34756282380285,1.38732152977751,1.42618442215158,1.46429958759527,1.50179043954241,1.53876141660803,1.57530213278924,1.61149046356166,1.64739488342506,1.68307626603444,1.71858929149595,1.75398356189617,1.7893044970422,1.82459406254194
4,5,0.0624904740131078,0.835891550710085,0.855229323820456,5.90747619883882,0.580335817855802,0.787406790411005,0.913863916545677,1.07686947136263,1.19627869617253,1.295584848749,1.38304972536879,1.4626562758066,1.536665603651,1.60650003478118,1.67312034263089,1.73721071156045,1.79927875388369,1.85971371962769,1.91882237909528,1.97685219043267,2.03400683999771,2.09045700669386,2.14634802563629,2.20180547587039,2.25693934081837,2.31184716451496,2.36661648686291,2.42132675196963,2.47605082531033,2.53085621645959,2.58580607751589
5,4,0.0445054107605548,0.892893623230701,0.909290074631023,10.0241519429361,0.75208326413511,1.02620883763673,1.19586339478433,1.41700318429873,1.58070410340223,1.71791439745974,1.83955019168942,1.9508856111614,2.05492054469722,2.15354565082383,2.24804066060195,2.33931896723933,2.42806000567546,2.51478635982998,2.59991133008541,2.6837696677217,2.76663820641917,2.8487501645543,2.93030533694898,3.01147753377474,3.09242012648327,3.17327026182822,3.25415211977937,3.33517947294878,3.41645772783742,3.49808557649062,3.58015635185076
6,4,0.0307879896357263,0.934644388584948,0.947491955154088,18.0447007298511,0.89468702033642,1.2339864714376,1.44811265836154,1.73179053113024,1.94500861945416,2.12577039595048,2.28753751425436,2.43683469502283,2.57738407473933,2.71153869742291,2.84089673840992,2.96660342876047,3.08951466935304,3.21029243838318,3.32946371136309,3.44745857202684,3.56463582550136,3.68130077778733,3.79771792563987,3.91412023723238,4.03071608854833,4.14769455084766,4.26522949529185,4.38348283450501,4.50260712511095,4.62274769122777,4.74404438518151
7,3,0.0182898948331047,0.964077233947014,0.972335177917749,35.1469882953471,0.925164502231562,1.30161689550598,1.54667864722845,1.87991656266629,2.13661348726569,2.35830098634786,2.55978478237203,2.74827851197086,2.92791944968323,3.10133932115458,3.27033901694575,3.43622091672445,3.59996929544457,3.76235570020313,3.92400414132507,4.08543334364154,4.24708521113462,4.40934464689551,4.57255375671067,4.73702229256277,4.90303551371702,5.07086023527709,5.24074958102896,5.41294679585423,5.58768836729505,5.76520663516061,5.94573201986709
8,3,0.0105166895290352,0.981900452488688,0.986897830413259,75.323237413442,1.08082148409212,1.52061120084785,1.80690407692775,2.19620857083184,2.4960942131562,2.75508016774559,2.99046318872627,3.21067059192392,3.42053573961783,3.62313313975869,3.82056667895691,4.01435785952034,4.20565655859393,4.39536413445117,4.58420958584189,4.77279891195918,4.96164836620079,5.15120761079352,5.341876310103,5.5340163312315,5.72796092771574,5.92402180573947,6.12249467663332,6.32366371071867,6.5278051840693,6.73519052717868,6.94608892821345
9,2,0.00487730528882792,0.992264522978917,0.994646683092968,185.800075049981,1.18448430754015,1.66645475851825,1.98020631145118,2.40684944417129,2.7354974610898,3.01932305449213,3.27728192995546,3.51860967679507,3.74860323058886,3.97063197885793,4.18700159438129,4.39937950849157,4.60902588436449,4.81692853057544,5.02388636497724,5.230563508838,5.43752573000868,5.64526581833405,5.85422177044568,6.06479016053307,6.27733620486042,6.49220150570768,6.70971013641711,6.93017352241028,7.15389443771487,7.3811703460331,7.61229625367623
10,2,0.00213382106386222,0.997110266159696,0.998167937492431,544.832904646403,1.2378247743681,1.74149963180292,2.06938024849372,2.5152362519318,2.85868415985175,3.15529117176122,3.42486661888535,3.67706199359728,3.91741276651901,4.14944005761933,4.37555337023174,4.59749522453985,4.81658253220619,5.0338475854436,5.25012527949269,5.46610964276196,5.68239192112776,5.8994870960673,6.11785288836098,6.33790373098487,6.56002128685921,6.78456254151977,7.01186616219006,7.24225759860355,7.47605325950465,7.71356400417424,7.95509812383947
11,1,0.00060966316110349,0.999238385376999,0.999542370062219,2184.17172379262,1.25986134024678,1.77250294677818,2.10622070856389,2.56001413205981,2.90957632417047,3.21146372801696,3.48583833348954,3.74252345513837,3.98715310965235,4.22331110227995,4.45344983190824,4.67934284020437,4.90233048335319,5.12346343110843,5.34359144206157,5.56342090016857,5.78355357705142,6.00451362222427,6.22676690511207,6.45073523669769,6.67680707451418,6.90534575938722,7.13669598771563,7.3711890031018,7.60914684720547,7.85088591342767,8.09671998139752
12,1,0.000152415790275873,0.999847607436757,0.999847561002157,6559.00114242192,1.26485297517517,1.77952569391484,2.11456566250437,2.570157038704,2.92110421406007,3.22418771120774,3.49964940287019,3.75735152407118,4.00295041376127,4.24004407640823,4.47109462742868,4.69788263535236,4.92175376692374,5.14376285470373,5.36476302407074,5.58546345770998,5.80646831149333,6.02830381164208,6.25143767337962,6.47629337892543,6.70326092490116,6.93270509170737,7.16497194144761,7.40039403012834,7.63929467535478,7.88199152409474,8.12879959918828
