"score","ways","pmf","cdf","cdfContCor","odds","oddsLL001","oddsLL005","oddsLL01","oddsLL02","oddsLL03","oddsLL04","oddsLL05","oddsLL06","oddsLL07","oddsLL08","oddsLL09","oddsLL10","oddsLL11","oddsLL12","oddsLL13","oddsLL14","oddsLL15","oddsLL16","oddsLL17","oddsLL18","oddsLL19","oddsLL20","oddsLL21","oddsLL22","oddsLL23","oddsLL24","oddsLL25"
-24,1,2.32305731254189e-08,2.32305725857594e-08,2.32305747443972e-08,43046717.0000005,2.9886966381864,4.03827121162312,4.71755992635741,5.63845271547672,6.34637123497094,6.95703054687451,7.51160040790434,8.03011455366204,8.52405233394447,9.00071018607214,9.46507771165811,9.92076109510946,10.3704841115046,10.8163806296152,11.2601754919659,11.7033017014243,12.1469793420952,12.5922705137911,13.040118687008,13.4913776301307,13.9468331763423,14.4072199657544,14.8732345959693,15.3455461660895,15.8248049059741,16.3116493864791,16.8067126727558
-23,1,1.8584458500335e-07,2.0907511927329e-07,1.16152916085221e-07,8609339.46000451,2.98868969528837,4.03826183050866,4.71754896721988,5.63843961705725,6.34635649201984,6.95701438533002,7.51158295806517,8.03009589928748,8.52403253212671,9.00068927695334,9.46505572378937,9.92073804866445,10.3704600203296,10.8163555025994,11.2601493339915,11.7032745140446,12.1469511240292,12.5922412612905,13.0400883941327,13.4913462889574,13.9468007771221,14.4071864970316,14.8732000446703,15.345510517586,15.8247681441277,16.3116114936676,16.8066736298865
-22,2,1.02214521751843e-06,1.23121911716247e-06,7.20148958452096e-07,1388600.6056309,2.98864456714439,4.03820085420135,4.71747773392009,5.63835447863847,6.3462606643098,6.9569093369045,7.51146953585282,8.02997464771544,8.52390382228841,9.00055336976893,9.4649128048379,9.92058824907309,10.3703034300976,10.8161921795052,11.2599793097694,11.703097798791,12.1467677094178,12.5920511229574,13.0398914934684,13.4911425744605,13.9465901854255,14.4069689536756,14.8729754646765,15.3452788058733,15.8245291957964,16.3113651941761,16.8064198551341
-21,2,4.0885808700737e-06,5.31977949537222e-06,3.27552844923275e-06,305293.249614665,2.98845365398929,4.03794289590331,4.71717638374678,5.63799430330853,6.34585526827851,6.95646493293427,7.51098970684796,8.0294616968573,8.52335931947587,8.99997841881613,9.46430819083123,9.91995452674163,10.36964098018,10.8155012464321,11.2592600277912,11.7023502106202,12.1459917798298,12.5912467488825,13.0390585115693,13.4902807668628,13.9456992840569,14.4060486435361,14.8720253862688,15.3442985569589,15.8235183326011,16.3103232321351,16.8053462692431
-20,3,1.37060381439971e-05,1.90255786244117e-05,1.21730011391433e-05,82148.0106317678,2.98778910384229,4.03704496812669,4.71612741306755,5.6367405679735,6.34444412407495,6.95491800588469,7.50931946869414,8.02767616474979,8.52146395808014,8.99797707040194,9.46220358820803,9.91774860086747,10.3673350563693,10.8130961755241,11.2567562770984,11.6997479288206,12.1432908443102,12.588446800867,13.0361589824971,13.4872808983338,13.9425981429377,14.4028451333425,14.868718255625,15.340886405712,15.8199996160167,16.3066962634895,16.801609221048
-19,3,3.92132074357068e-05,5.823676317515e-05,3.86338666479412e-05,25883.0257723282,2.9858144235899,4.03437681696223,4.71301044485237,5.63301515098437,6.3402509738596,6.95032138317609,7.50435643270052,8.02237053806594,8.51583197870855,8.99203015547092,9.45594985813528,9.91119379340628,10.3604831096307,10.8059496177374,11.2493164968617,11.6920153679235,12.1352651384133,12.5801268838842,13.0275431649762,13.4783669267239,13.9333832444749,14.3933260498748,14.858891268747,15.3307473549334,15.8095439112301,16.2959188926731,16.7905047539039
-18,4,0.000100356075901809,0.000158579208340165,0.000108425985344957,9221.88136758457,2.98061808647775,4.02735562307531,4.70480819661783,5.62321178026878,6.32921677120604,6.93822544959781,7.49129628886641,8.0084088727243,8.50101152188371,8.97638095113952,9.43949327503677,9.89394493033983,10.3424523296676,10.7871435738698,11.2297388431612,11.6716672669524,12.1141456314184,12.5582331654783,13.0048707893947,13.4549099637863,13.9091343977017,14.3682767454944,14.8330317218391,15.3040666172399,15.7820299039619,16.2675584267816,16.7612835396532
-17,4,0.000231748197499177,0.000390252879824943,0.000274515562455124,3641.78072636946,2.96832151886864,4.01074073003358,4.68539846668964,5.60001316782323,6.30310552861078,6.90960173604147,7.46039087642399,7.9753701075126,8.46594051986608,8.93934880812474,9.40055055782695,9.85312736860365,10.2997844464884,10.7426411128309,11.1834104512266,11.6235156951995,12.0641686110617,12.5064240578738,12.9512190741229,13.3994016077192,13.8517521345122,14.3090002862831,14.7718379116548,15.2409295482182,15.71692099296,16.2004464633478,16.6921347086789
-16,5,0.000493719370634524,0.000883626427377335,0.000637407113487485,1567.85604010385,2.94179051942799,3.97489253791939,4.64352015151766,5.54995998278963,6.24676807049147,6.84784338586656,7.39370954661816,7.90408586875466,8.39027153934312,8.85944848172126,9.31652798816726,9.76505964580364,10.2077244814032,10.6466228737204,11.0834525947276,11.5196241570196,11.9563384960835,12.3946410425991,12.8354604597589,13.279637116474,13.7279445126637,14.1811057586255,14.6398065192062,15.1047053923279,15.5764424028133,16.0556460994636,16.5429396117853
-15,5,0.00097475484834257,0.00185700741222503,0.00137222048946652,727.745859485578,2.88943849967409,3.90415546425947,4.56088420001314,5.45119305403195,6.13560076497985,6.72597936127305,7.26213130347579,7.76342498321408,8.24095850754583,8.7017859905069,9.15073132315892,9.59128092427366,10.0260681091484,10.4571558782575,10.8862117900718,11.3146212557447,11.7435638389495,12.1740663659118,12.6070409733603,13.0433130750255,13.4836424056438,13.9287392070628,14.3792769420574,14.83590248816,15.2992444803296,15.7699202817312,16.2485419326765
