"score","ways","pmf","cdf","cdfContCor","odds","oddsLL001","oddsLL005","oddsLL01","oddsLL02","oddsLL03","oddsLL04","oddsLL05","oddsLL06","oddsLL07","oddsLL08","oddsLL09","oddsLL10","oddsLL11","oddsLL12","oddsLL13","oddsLL14","oddsLL15","oddsLL16","oddsLL17","oddsLL18","oddsLL19","oddsLL20","oddsLL21","oddsLL22","oddsLL23","oddsLL24","oddsLL25"
-8,1,0.000152415790275873,0.000152392563242914,0.000152485402377907,6557.0047952504,0.704553310464334,1.03743472790121,1.25636002226422,1.55566497354109,1.78706194973417,1.98731169705203,2.16956529636882,2.34024436799478,2.50303803303048,2.6602961436455,2.81362862817542,2.96420104777337,3.11289520236654,3.26040302173631,3.40728469431452,3.55400636662493,3.70096555714643,3.8485088624542,3.99694465329966,4.1465524151052,4.2975897830202,4.45029795836736,4.60490596774194,4.76163408198731,4.92069661798636,5.08230428313103,5.24666617931468
-7,2,0.00121932632220698,0.00137007154818085,0.000763778834164642,1308.27953914004,0.700700064234414,1.0317609323279,1.24948891052958,1.54715694426171,1.77728839588357,1.97644296477783,2.15769980773278,2.32744542481457,2.48934876108913,2.64574681723723,2.79824071679542,2.94798964638981,3.09587058332849,3.24257167318549,3.38865004068699,3.53456928297219,3.6807247444665,3.82746112618667,3.97508511238518,4.12387465996111,4.27408599504105,4.42595899980254,4.57972144828003,4.73559240664185,4.89378501965842,5.05450884234973,5.21797183301778
-6,3,0.00548696844993141,0.00682128240109139,0.00414156044727563,240.454884633596,0.68006612967046,1.00137805005065,1.21269446204266,1.50159688685977,1.72495151975954,1.91824146475489,2.09416072886876,2.25890774507385,2.41604341681277,2.56783592570719,2.71583924604968,2.86117842920334,3.0047046276001,3.14708572257902,3.28886243288069,3.43048470382163,3.57233623788311,3.71475158546456,3.85802839970353,4.00243645233577,4.14822442424364,4.29562513365048,4.4448596471923,4.59614058006472,4.74967480043642,4.90566569243519,5.06431509049031
-5,4,0.0170705685108977,0.023527648733703,0.0156046754113255,63.0833579450314,0.617432303069908,0.909151520288219,1.10100577275029,1.36330039636835,1.56608415426476,1.74157217034426,1.90128933850969,2.05086321846265,2.19352675582072,2.33133923355852,2.46571150553939,2.59766500633254,2.72797249756125,2.85724034895248,2.98595947926067,3.1145383940133,3.24332545684207,3.37262440618442,3.50270548143949,3.63381360847086,3.76617456474813,3.89999972602664,4.03548979879103,4.17283781645991,4.31223159472391,4.45385578611159,4.59789363617963
-4,5,0.0405426002133821,0.061959865240955,0.0451760953898196,21.1356005066642,0.49481663974268,0.728603440489297,0.882357424612923,1.09256305142569,1.25507605435377,1.39571396720644,1.52371295927066,1.64358301515146,1.75791505093633,1.86835939732017,1.97604672719516,2.08179562879962,2.18622540129856,2.28982199566872,2.3929788392822,2.49602331269787,2.59923459813663,2.70285611472676,2.80710443512042,2.91217584544032,3.01825128608799,3.12550015578206,3.23408330277716,3.34415542605339,3.45586704304959,3.5693661362138,3.68479956043223
-3,6,0.0768175582990398,0.131210191082802,0.105614411800601,8.46840476551618,0.398615143157663,0.58054910028631,0.697043911050668,0.852598906380796,0.970158076962442,1.07013871208106,1.1598091682051,1.24270337997679,1.32084202794691,1.39550494115796,1.46756277645842,1.53764033852121,1.60620521036436,1.67361949924755,1.74017182712028,1.80609804257535,1.87159515279785,1.93683100226246,2.0019511860413,2.06708410953068,2.13234477286007,2.19783765779976,2.26365897056762,2.32989841449085,2.39664061446631,2.4639662803434,2.53195317257867
-2,7,0.119493979576284,0.232947583390061,0.205587253561108,3.86411478668237,0.270243533992439,0.39581335653,0.474500831427615,0.577410339468743,0.653582154189309,0.717322200178702,0.773706228322502,0.825194985906919,0.873191253128332,0.918580390522677,0.961962150136056,1.00376469350025,1.04430640594085,1.08383195249037,1.12253454730821,1.16057035684533,1.19806817635296,1.23513614213529,1.27186651673109,1.30833918229094,1.3446242448043,1.38078401209418,1.41687452179129,1.45294674014735,1.48904751631162,1.52522035243647,1.56150603340906
-1,8,0.154854442920287,0.359904975584004,0.342106457608085,1.92306671727779,0.147985427510651,0.223474410914467,0.270848404806685,0.332591825131698,0.37804544848418,0.415885489392639,0.449198008357378,0.479481061201476,0.507589178218419,0.534061774084512,0.559264144990665,0.583456879969904,0.606833518405149,0.629542527975702,0.651700885241307,0.673402862213761,0.694725930850732,0.715734859229578,0.736484631575981,0.757022579489973,0.777389969958602,0.797623210558802,0.817754779378462,0.837813953417398,0.857827387117975,0.877819577866886,0.897813245191656
0,9,0.168724279835391,0.5,0.5,1,0.0693237530611855,0.110947218720476,0.137591944943609,0.172606007298883,0.198479293272615,0.220036445494993,0.239008369554477,0.256239739972019,0.2722141782547,0.287237808233412,0.301518364870845,0.315204257800917,0.328405818140679,0.341207725489221,0.353676701140399,0.365866493658923,0.377821233907257,0.389577765432589,0.40116730747774,0.41261666981421,0.423949158549046,0.435185263893571,0.44634319095155,0.457439275450108,0.468488313793729,0.479503828413507,0.490498283633438
1,8,0.154854442920287,0.640095024415996,0.657893542391915,1.92306671727779,0.147985427510651,0.223474410914467,0.270848404806685,0.332591825131698,0.37804544848418,0.415885489392639,0.449198008357378,0.479481061201476,0.507589178218419,0.534061774084512,0.559264144990665,0.583456879969904,0.606833518405149,0.629542527975702,0.651700885241307,0.673402862213761,0.694725930850732,0.715734859229578,0.736484631575981,0.757022579489973,0.777389969958602,0.797623210558802,0.817754779378462,0.837813953417398,0.857827387117975,0.877819577866886,0.897813245191656
