priorG,priorOdds,oddsIn,a01,a05,a10
0.9,9 to 1,9 in 10,NA,NA,-10
0.89,8 to 1,8 in 9,NA,NA,-8
0.88,7 to 1,7 in 8,NA,-13,-8
0.86,6 to 1,6 in 7,NA,-9,-5
0.83,5 to 1,5 in 6,NA,-6,-5
0.8,4 to 1,4 in 5,-8,-5,-4
0.75,3 to 1,3 in 4,-7,-4,-3
0.67,2 to 1,2 in 3,-5,-4,-3
0.5,1 to 1,1 in 2,-4,-3,-3
0.33,1 to 2,1 in 3,-6,-5,-6
0.25,1 to 3,1 in 4,-7,-6,-8
0.2,1 to 4,1 in 5,-8,-7,-9
0.17,1 to 5,1 in 6,-8,-8,-10
0.14,1 to 6,1 in 7,-9,-8,-11
0.13,1 to 7,1 in 8,-9,-8,-11
0.11,1 to 8,1 in 9,-10,-9,-12
0.1,1 to 9,1 in 10,-10,-9,-13
