"score","ways","pmf","cdf","cdfContCor","odds","oddsLL001","oddsLL005","oddsLL01","oddsLL02","oddsLL03","oddsLL04","oddsLL05","oddsLL06","oddsLL07","oddsLL08","oddsLL09","oddsLL10","oddsLL11","oddsLL12","oddsLL13","oddsLL14","oddsLL15","oddsLL16","oddsLL17","oddsLL18","oddsLL19","oddsLL20","oddsLL21","oddsLL22","oddsLL23","oddsLL24","oddsLL25"
-16,1,2.32305731254189e-08,2.32305725857594e-08,2.32305769030346e-08,43046713.0000027,1.83831765720426,2.53304398308242,2.98374577887595,3.59551287686842,4.06619256143271,4.47239988600499,4.84141556409602,5.18652151161754,5.51533118066764,5.8326853052926,6.14189508589132,6.44535426328314,6.74487128042329,7.04186324611177,7.33747590025875,7.63266134769994,7.92823041657044,8.2248891083412,8.52326471402727,8.82392501301316,9.12739272161578,9.43415660789222,9.74468022344874,10.0594089057482,10.3787755099279,10.7032051990803,11.0331195332864
-15,2,3.71689170006701e-07,3.94919596344783e-07,2.09075453591736e-07,4782961.24076458,1.83831184931094,2.53303598030381,2.98373635217154,3.59550151737616,4.06617971489744,4.47238575611764,4.8414002683581,5.18650512556832,5.51531375579279,5.83266687778422,6.14187568148029,6.44533390013762,6.74484997099795,7.04184099838416,7.33745271858659,7.63263723343292,7.92820536849658,8.224863123018,8.52323778603036,8.8238971351244,9.12736388496561,9.43412680206682,9.74464943656979,10.0593771245305,10.3787427197185,10.7031713838832,11.0330846757737
-14,3,3.15935794505695e-06,3.55426645898909e-06,1.97461449508844e-06,506426.964793812,1.83825667564976,2.53295995573324,2.98364680063077,3.59539360479182,4.066057675744,4.4722515254122,4.84125496233828,5.18634946183989,5.51514822345804,5.83249182065985,6.14169134400352,6.44514045490204,6.74464753632013,7.04162965004877,7.33723249799109,7.63240815339912,7.92796741751081,8.22461626837726,8.52298197620468,8.82363230154301,9.12708994336936,9.43384365352713,9.74435696824541,10.0590752102142,10.3784312202118,10.702850147227,11.0327535373568
-13,4,1.8584458500335e-05,2.21383247597463e-05,1.2846955109167e-05,77838.4562371005,1.83791698020756,2.53249188456361,2.98309544606056,3.5947292042015,4.06530630011812,4.47142508834294,4.84036033632275,5.18539106506255,5.51412906724367,5.83141402183316,6.1405564075256,6.44394944340408,6.74340117825833,7.04032841201738,7.33587663486764,7.63099774412542,7.92650239119901,8.22309642368023,8.52140699586073,8.82200176337268,9.12540332860253,9.4321003530762,9.74255628736489,10.0572163718665,10.3765133673736,10.7008723443109,11.0307147708769
-12,5,8.40946747140158e-05,0.000106224477989617,6.41940342294186e-05,15576.7715484615,1.83631428736361,2.5302835113539,2.98049413937712,3.59159454315121,4.06176128835435,4.46752593453539,4.83613946511001,5.18086932156566,5.50932065897939,5.82632893604117,6.13520174465551,6.4383302169804,6.73752082515823,7.03418913364598,7.32947963374439,7.62434339270019,7.91959035502069,8.21592575278742,8.51397619340352,8.8143088374964,9.11744583173493,9.42387541152438,9.7340606232997,10.048446319202,10.3674648826497,10.6915410133994,11.0210958121223
-11,6,0.000309617078615581,0.000415721774956642,0.000261138737973294,3828.38206625731,1.83019138515266,2.5218466775218,2.97055614876119,3.57961893400825,4.04821798188227,4.45262966944053,4.82001411596517,5.16359452473924,5.49095069264201,5.80690195528428,6.11474487592368,6.41686261386276,6.71505561784563,7.01073473235149,7.30504063255413,7.59892121451563,7.89318372211026,8.18853103593371,8.48558767406491,8.78491890602308,9.08704513746081,9.39245297583894,9.70160392363666,10.0149413497053,10.3328961957486,10.6558917454283,10.9843476953215
-10,7,0.000960073126127304,0.00137460389538639,0.00089673925102501,1114.15136519,1.81069041625881,2.49497601579082,2.93890441904355,3.54147754723842,4.00508360064727,4.40518621987346,4.76865612897766,5.10857563599119,5.43244377389925,5.74502852755521,6.04959133483145,6.34848996210395,6.64350567406033,6.93603428241621,7.22720430827714,7.51795354772777,7.80908064333557,8.10128098639603,8.39517244065252,8.69131425259117,8.99022128286278,9.29237495405138,9.59823185125667,9.90823061916718,10.2227976077369,10.5423515904754,10.8673077920287
-9,8,0.00256577034055625,0.00393160635721958,0.00266444824022699,374.312225961953,1.75845527020769,2.42300046690148,2.85412233803148,3.4393123205074,3.88954417714989,4.27810455891623,4.63108901804137,4.96120246161356,5.27572758906934,5.57929483751627,5.87507155823847,6.16534750031317,6.45185254216103,6.73594222885234,7.01871252569832,7.30107417506145,7.58380278011449,7.86757367137088,8.15298688832165,8.44058554420248,8.73086964686498,9.02430673072163,9.32134020921723,9.62239607293382,9.92788837239969,10.2382238002656,10.5538056026969
-8,9,0.00600672929303952,0.00988902256770424,0.006973801434049,142.393816049534,1.64225423660989,2.26288541397287,2.66551818567528,3.21203804559144,3.63251798986693,3.99540179131795,4.325060573817,4.63335968750686,4.92710058148111,5.21060770748215,5.48683911406166,5.75793324067075,6.02550565309224,6.29082232019795,6.55490678447204,6.81860960522561,7.08265513275519,7.347674070847,7.61422680759446,7.88282056659739,8.15392231453191,8.42796869052254,8.70537380667132,8.98653550354316,9.27184047066367,9.56166852589919,9.85639626837886
-7,10,0.0124664547620247,0.0221388846078208,0.0162961876596441,60.3640454372285,1.43436571580465,1.97643287150072,2.32809744992891,2.80543483935062,3.17268736506018,3.48963468784297,3.7775628569349,4.04683521990506,4.30339224880712,4.55101097473695,4.79227499488286,5.02905204943124,5.26275319406326,5.49448414207627,5.72513886848047,5.9554602625849,6.18608098114174,6.41755188885123,6.65036243579414,6.88495563750705,7.12173934861789,7.36109493528571,7.60338408828189,7.84895428661058,8.09814326981651,8.35128277564986,8.60870173057492
